"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"ESP",2001,32811.053519209300277883,9915768.89384949422285353
"ESP",2002,37699.019809631773748506,10958255.338676873313757
"ESP",2003,23315.393436019188284448,6921870.2451296574227094
"ESP",2004,67273.875617485538294564,19079987.061720328845996
"ESP",2005,48955.001046474513578144,13355137.571109881811210
"ESP",2006,72719.077323391730924342,21540850.5569004293465158
"ESP",2007,60256.316847675779850779,20184855.957869248863718
"ESP",2008,44287.974223990567479021,16593291.453640625532403
"ESP",2009,67544.779975570382669356,23941429.755950101455723
"ESP",2010,56093.422150212162979289,21283978.721214887248223
"ESP",2011,39325.568509624739217593,15334602.660982546006111
"ESP",2012,80495.829714424057125637,26086451.905815846275979
"ESP",2013,63955.870659623155643300,24649018.827998189998520
"ESP",2014,74226.434563675969782352,30471972.2252165352283436
"ESP",2015,65413.869197363488292965,26732280.4448321776887686
"ESP",2016,107562.364927235141679990,44333224.4571087244881998
"ESP",2017,98458.976961278689431686,38675486.698477018214050
"ESP",2018,119649.002251496277759011,52932732.308739444466071
"ESP",2019,71021.864828331202981178,33466115.999738628002531
"ESP",2020,101988.118099408756447581,47463285.900848158552718
"ESP",2021,85791.957581101985906553,39850448.1906798766975682
