"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"ESP",2001,15345.415887046422737095,4876874.025909444894050
"ESP",2002,18542.548475019934670300,5549701.808687118716167
"ESP",2003,10771.602601221252936095,3197240.4728157716249047
"ESP",2004,31396.706365694427098786,9134941.129397973014027
"ESP",2005,21136.051912161674576638,6137229.499117970861183
"ESP",2006,36416.941832831943029048,11156494.572770446388460
"ESP",2007,31582.234325125528538674,10772272.030906225410077
"ESP",2008,23054.555607258914060191,8949567.909209347828108
"ESP",2009,31310.36983079815013574,11645829.965900679791651
"ESP",2010,27799.543412944851463751,10971869.856178564258768
"ESP",2011,20700.820757873842896350,8445336.052894594289557
"ESP",2012,38792.152643502877241625,13326141.090810760719773
"ESP",2013,32507.355585480537449680,13332208.056742539044329
"ESP",2014,37982.274006857446983626,16170757.4771646994861966
"ESP",2015,33193.26097869297850518,14322811.4605570306296526
"ESP",2016,53972.857703623758141390,23191769.069780580526903
"ESP",2017,44769.246318901748884114,19207798.642591753300341
"ESP",2018,55635.943736152114214125,25529650.013019982093090
"ESP",2019,36783.298552542785204983,17824497.312361777851722
"ESP",2020,49305.340594966683423776,23332411.370794277635594
"ESP",2021,39350.138674641262986283,19542748.8709989933400622
