"iso","alert__year","alert__week","alert__count","confidence__cat"
"ESP",2012,5,1,"h"
"ESP",2012,6,4,"h"
"ESP",2012,7,4,"h"
"ESP",2012,8,16,"h"
"ESP",2012,9,52,"h"
"ESP",2012,10,22,"h"
"ESP",2012,11,16,"h"
"ESP",2012,12,2,"h"
"ESP",2012,13,55,"h"
"ESP",2012,14,3,"h"
"ESP",2012,15,1,"h"
"ESP",2012,19,1,"h"
"ESP",2012,20,28,"h"
"ESP",2012,21,2,"h"
"ESP",2012,22,2,"h"
"ESP",2012,23,1,"h"
"ESP",2012,24,7,"h"
"ESP",2012,25,9,"h"
"ESP",2012,26,264,"h"
"ESP",2012,27,3,"h"
"ESP",2012,28,5,"h"
"ESP",2012,29,47,"h"
"ESP",2012,30,24,"h"
"ESP",2012,31,27,"h"
"ESP",2012,32,28,"h"
"ESP",2012,33,2,"h"
"ESP",2012,34,65,"h"
"ESP",2012,35,52,"h"
"ESP",2012,36,5,"h"
"ESP",2012,37,1,"h"
"ESP",2012,38,9,"h"
"ESP",2012,39,15,"h"
"ESP",2012,40,5,"h"
"ESP",2013,1,3,"h"
"ESP",2013,10,1,"h"
"ESP",2013,14,1,"h"
"ESP",2013,15,2,"h"
"ESP",2013,16,2,"h"
"ESP",2013,17,8,"h"
"ESP",2013,19,2,"h"
"ESP",2013,20,1,"h"
"ESP",2013,21,1,"h"
"ESP",2013,22,1,"h"
"ESP",2013,23,2,"h"
"ESP",2013,24,2,"h"
"ESP",2013,26,10,"h"
"ESP",2013,27,3,"h"
"ESP",2013,28,1,"h"
"ESP",2013,29,3,"h"
"ESP",2013,30,1,"h"
"ESP",2013,31,14,"h"
"ESP",2013,32,10,"h"
"ESP",2013,33,2,"h"
"ESP",2013,34,10,"h"
"ESP",2013,35,42,"h"
"ESP",2013,36,12,"h"
"ESP",2013,37,16,"h"
"ESP",2013,38,6,"h"
"ESP",2013,39,13,"h"
"ESP",2013,40,12,"h"
"ESP",2013,41,8,"h"
"ESP",2013,42,17,"h"
"ESP",2013,43,7,"h"
"ESP",2013,44,6,"h"
"ESP",2013,45,6,"h"
"ESP",2013,46,15,"h"
"ESP",2013,48,1,"h"
"ESP",2013,49,5,"h"
"ESP",2013,50,1,"h"
"ESP",2013,52,2,"h"
"ESP",2014,2,2,"h"
"ESP",2014,5,1,"h"
"ESP",2014,6,2,"h"
"ESP",2014,10,5,"h"
"ESP",2014,11,15,"h"
"ESP",2014,12,12,"h"
"ESP",2014,13,9,"h"
"ESP",2014,14,4,"h"
"ESP",2014,15,2,"h"
"ESP",2014,16,2,"h"
"ESP",2014,17,27,"h"
"ESP",2014,18,4,"h"
"ESP",2014,19,1,"h"
"ESP",2014,20,6,"h"
"ESP",2014,24,2,"h"
"ESP",2014,25,3,"h"
"ESP",2014,26,8,"h"
"ESP",2014,27,1,"h"
"ESP",2014,28,2,"h"
"ESP",2014,29,11,"h"
"ESP",2014,30,4,"h"
"ESP",2014,31,2,"h"
"ESP",2014,32,19,"h"
"ESP",2014,33,2,"h"
"ESP",2014,34,4,"h"
"ESP",2014,35,11,"h"
"ESP",2014,36,5,"h"
"ESP",2014,37,15,"h"
"ESP",2014,38,2,"h"
"ESP",2014,40,3,"h"
"ESP",2014,42,2,"h"
"ESP",2014,43,4,"h"
"ESP",2014,44,3,"h"
"ESP",2014,48,2,"h"
"ESP",2015,2,1,"h"
"ESP",2015,10,1,"h"
"ESP",2015,14,2,"h"
"ESP",2015,15,3,"h"
"ESP",2015,16,2,"h"
"ESP",2015,20,17,"h"
"ESP",2015,22,1,"h"
"ESP",2015,23,5,"h"
"ESP",2015,25,1,"h"
"ESP",2015,26,13,"h"
"ESP",2015,27,8,"h"
"ESP",2015,28,99,"h"
"ESP",2015,29,31,"h"
"ESP",2015,30,4,"h"
"ESP",2015,31,23,"h"
"ESP",2015,32,66,"h"
"ESP",2015,33,2,"h"
"ESP",2015,34,18,"h"
"ESP",2015,35,29,"h"
"ESP",2015,37,1,"h"
"ESP",2015,38,7,"h"
"ESP",2015,39,5,"h"
"ESP",2015,40,3,"h"
"ESP",2015,42,2,"h"
"ESP",2015,45,1,"h"
"ESP",2015,47,2,"h"
"ESP",2015,51,9,"h"
"ESP",2015,52,4,"h"
"ESP",2016,7,1,"h"
"ESP",2016,9,2,"h"
"ESP",2016,11,3,"h"
"ESP",2016,16,2,"h"
"ESP",2016,17,4,"h"
"ESP",2016,19,1,"h"
"ESP",2016,20,1,"h"
"ESP",2016,21,1,"h"
"ESP",2016,23,2,"h"
"ESP",2016,24,6,"h"
"ESP",2016,25,2,"h"
"ESP",2016,26,11,"h"
"ESP",2016,27,2,"h"
"ESP",2016,28,16,"h"
"ESP",2016,29,15,"h"
"ESP",2016,30,6,"h"
"ESP",2016,31,26,"h"
"ESP",2016,32,43,"h"
"ESP",2016,33,7,"h"
"ESP",2016,34,17,"h"
"ESP",2016,35,19,"h"
"ESP",2016,36,22,"h"
"ESP",2016,37,16,"h"
"ESP",2016,38,5,"h"
"ESP",2016,39,2,"h"
"ESP",2016,40,3,"h"
"ESP",2016,41,1,"h"
"ESP",2016,43,5,"h"
"ESP",2016,44,2,"h"
"ESP",2016,45,2,"h"
"ESP",2016,46,1,"h"
"ESP",2016,52,4,"h"
"ESP",2017,1,1,"h"
"ESP",2017,3,2,"h"
"ESP",2017,5,1,"h"
"ESP",2017,8,1,"h"
"ESP",2017,9,1,"h"
"ESP",2017,10,6,"h"
"ESP",2017,11,10,"h"
"ESP",2017,13,10,"h"
"ESP",2017,14,11,"h"
"ESP",2017,15,12,"h"
"ESP",2017,16,21,"h"
"ESP",2017,17,4,"h"
"ESP",2017,19,2,"h"
"ESP",2017,21,2,"h"
"ESP",2017,22,3,"h"
"ESP",2017,24,4,"h"
"ESP",2017,25,17,"h"
"ESP",2017,26,5,"h"
"ESP",2017,27,5,"h"
"ESP",2017,28,5,"h"
"ESP",2017,29,6,"h"
"ESP",2017,30,27,"h"
"ESP",2017,31,5,"h"
"ESP",2017,32,24,"h"
"ESP",2017,33,10,"h"
"ESP",2017,34,92,"h"
"ESP",2017,35,2,"h"
"ESP",2017,36,22,"h"
"ESP",2017,37,3,"h"
"ESP",2017,38,7,"h"
"ESP",2017,39,3,"h"
"ESP",2017,40,3,"h"
"ESP",2017,41,72,"h"
"ESP",2017,42,53,"h"
"ESP",2017,43,3,"h"
"ESP",2017,44,2,"h"
"ESP",2017,45,1,"h"
"ESP",2017,46,7,"h"
"ESP",2017,52,2,"h"
"ESP",2018,6,1,"h"
"ESP",2018,7,1,"h"
"ESP",2018,8,5,"h"
"ESP",2018,9,1,"h"
"ESP",2018,10,1,"h"
"ESP",2018,12,3,"h"
"ESP",2018,16,1,"h"
"ESP",2018,17,1,"h"
"ESP",2018,18,1,"h"
"ESP",2018,19,5,"h"
"ESP",2018,20,1,"h"
"ESP",2018,24,2,"h"
"ESP",2018,25,8,"h"
"ESP",2018,26,3,"h"
"ESP",2018,27,8,"h"
"ESP",2018,28,9,"h"
"ESP",2018,29,11,"h"
"ESP",2018,30,3,"h"
"ESP",2018,31,2,"h"
"ESP",2018,32,5,"h"
"ESP",2018,33,1,"h"
"ESP",2018,34,6,"h"
"ESP",2018,35,2,"h"
"ESP",2018,36,4,"h"
"ESP",2018,37,1,"h"
"ESP",2018,38,3,"h"
"ESP",2018,39,2,"h"
"ESP",2018,40,10,"h"
"ESP",2018,41,4,"h"
"ESP",2018,43,1,"h"
"ESP",2018,44,2,"h"
"ESP",2018,48,1,"h"
"ESP",2018,51,1,"h"
"ESP",2019,1,4,"h"
"ESP",2019,2,1,"h"
"ESP",2019,3,1,"h"
"ESP",2019,6,1,"h"
"ESP",2019,7,5,"h"
"ESP",2019,8,5,"h"
"ESP",2019,9,5,"h"
"ESP",2019,10,1,"h"
"ESP",2019,11,1,"h"
"ESP",2019,12,12,"h"
"ESP",2019,13,14,"h"
"ESP",2019,14,1,"h"
"ESP",2019,17,1,"h"
"ESP",2019,19,1,"h"
"ESP",2019,20,1,"h"
"ESP",2019,21,1,"h"
"ESP",2019,22,9,"h"
"ESP",2019,23,1,"h"
"ESP",2019,24,6,"h"
"ESP",2019,25,10,"h"
"ESP",2019,26,14,"h"
"ESP",2019,27,1,"h"
"ESP",2019,28,9,"h"
"ESP",2019,29,12,"h"
"ESP",2019,30,3,"h"
"ESP",2019,31,14,"h"
"ESP",2019,32,2,"h"
"ESP",2019,33,22,"h"
"ESP",2019,34,18,"h"
"ESP",2019,36,7,"h"
"ESP",2019,37,3,"h"
"ESP",2019,40,3,"h"
"ESP",2019,41,2,"h"
"ESP",2019,46,4,"h"
"ESP",2020,2,1,"h"
"ESP",2020,7,1,"h"
"ESP",2020,8,2,"h"
"ESP",2020,9,6,"h"
"ESP",2020,11,5,"h"
"ESP",2020,13,1,"h"
"ESP",2020,21,2,"h"
"ESP",2020,23,2,"h"
"ESP",2020,24,2,"h"
"ESP",2020,25,2,"h"
"ESP",2020,26,4,"h"
"ESP",2020,27,6,"h"
"ESP",2020,28,4,"h"
"ESP",2020,29,11,"h"
"ESP",2020,30,12,"h"
"ESP",2020,31,21,"h"
"ESP",2020,32,15,"h"
"ESP",2020,33,4,"h"
"ESP",2020,34,3,"h"
"ESP",2020,35,54,"h"
"ESP",2020,36,10,"h"
"ESP",2020,37,15,"h"
"ESP",2020,38,7,"h"
"ESP",2020,39,1,"h"
"ESP",2020,40,4,"h"
"ESP",2020,42,8,"h"
"ESP",2020,43,3,"h"
"ESP",2020,44,3,"h"
"ESP",2020,47,3,"h"
"ESP",2021,3,2,"h"
"ESP",2021,7,1,"h"
"ESP",2021,11,7,"h"
"ESP",2021,12,6,"h"
"ESP",2021,14,2,"h"
"ESP",2021,19,2,"h"
"ESP",2021,20,40,"h"
"ESP",2021,21,3,"h"
"ESP",2021,22,2,"h"
"ESP",2021,23,7,"h"
"ESP",2021,24,1,"h"
"ESP",2021,25,5,"h"
"ESP",2021,26,3,"h"
"ESP",2021,27,1,"h"
"ESP",2021,28,16,"h"
"ESP",2021,29,19,"h"
"ESP",2021,30,1,"h"
"ESP",2021,31,6,"h"
"ESP",2021,32,91,"h"
"ESP",2021,33,16,"h"
"ESP",2021,34,6,"h"
"ESP",2021,35,4,"h"
"ESP",2021,36,48,"h"
"ESP",2021,37,1,"h"
"ESP",2021,38,49,"h"
"ESP",2021,39,75,"h"
"ESP",2021,40,294,"h"
"ESP",2021,41,10,"h"
"ESP",2021,42,47,"h"
"ESP",2021,43,14,"h"
"ESP",2021,44,100,"h"
"ESP",2021,45,81,"h"
"ESP",2021,46,153,"h"
"ESP",2021,47,38,"h"
"ESP",2021,48,2,"h"
"ESP",2021,49,8,"h"
"ESP",2021,50,12,"h"
"ESP",2021,51,1,"h"
"ESP",2021,52,1,"h"
"ESP",2022,1,1,"h"
"ESP",2022,4,4,"h"
"ESP",2022,5,1,"h"
"ESP",2022,6,2,"h"
"ESP",2022,7,1,"h"
"ESP",2022,8,6,"h"
"ESP",2022,9,2,"h"
"ESP",2022,12,1,"h"
"ESP",2022,14,1,"h"
"ESP",2022,15,1,"h"
"ESP",2022,20,2,"h"
"ESP",2022,23,20,"h"
"ESP",2022,24,82,"h"
"ESP",2022,25,3,"h"
"ESP",2022,26,6,"h"
