Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;542;764;904;840;789;672;744;876;711;703;591;663;8799
8175;;883;949;978;2043;2339;3470;;1664;1275;676;681;
8025;827;699;725;646;1062;;1163;1159;1020;785;817;789;
6325O;904;934;1071;1046;1366;1621;1529;1410;1557;1225;1236;965;14864
9091O;355;880;947;1071;1004;897;1105;1061;901;691;316;348;9576
1212E;654;654;725;820;815;592;738;860;847;774;649;679;8807
1208H;1145;;717;809;819;605;;;659;779;746;;
1249I;581;738;1049;691;818;547;782;937;595;675;357;629;8399
2444;;562;969;711;1351;;;;1077;875;;445;
4452;276;512;1154;1062;1949;2223;2699;2718;1542;1067;567;457;16226
B954;992;945;970;930;1442;1606;1637;1757;1316;1127;843;1009;14574
B893;958;692;1110;1012;1328;1413;1707;1698;1096;1286;795;923;14018
B278;608;612;1133;1254;1436;1839;;2779;1823;1947;;;
B228;877;854;1149;1123;1410;1363;1649;1693;1277;1207;994;870;14466
0200E;1064;654;1104;1032;1388;1916;2092;1546;1254;944;1060;1040;15094
2331;308;739;855;775;1258;1272;2171;2152;1317;962;373;430;12612
3469A;509;690;1078;1074;2158;2856;;;1903;1348;843;608;
5973;;;;;;1306;;;1146;;;;
5960;373;536;1162;1052;1681;1708;2155;1985;1467;1299;732;643;14793
5910;700;930;1723;1321;2776;1822;2272;1988;1498;1505;1625;1140;19300
1111;;1643;;1184;950;744;778;893;866;1099;808;947;
1109;1098;1887;1409;1583;;1167;1249;1279;1126;1234;787;1348;
4121;275;502;940;798;1709;2070;2467;;1183;926;451;;
5402;;;;1436;2700;3396;;;2226;;852;636;
8096;;669;1009;691;980;1090;;;0;;598;302;
1014;;1024;858;1021;756;658;698;652;574;759;354;490;
1024E;;1437;;1275;841;593;504;587;;1036;521;1113;
5530E;392;679;1283;1262;1920;2500;3564;2884;2044;1481;669;524;19202
5514;610;1009;1585;1375;2501;3155;4097;3565;2647;1808;850;699;23901
4642E;545;551;;;;;;;;;1368;806;
5270B;;724;1108;1067;1972;;;;;;;;
9170;;921;1780;1725;;2333;3235;2984;1461;1383;1116;662;
C249I;1717;;;1926;;2038;2315;2166;;;1671;;
C029O;1776;;2620;2420;3406;3005;3397;;2357;;2115;1913;
2661;;;;970;1703;1608;2426;2473;1175;1031;614;;
1549;410;555;1197;1370;1489;1624;;;1095;825;505;426;
9771C;412;594;1317;1215;1757;2011;2247;2367;1528;947;553;495;15443
3191E;639;622;1198;963;1666;2225;3134;3220;1475;1253;1029;733;18157
3196;;;1966;1504;2843;3471;5158;;2404;1841;1098;928;
3200;398;745;1540;1178;2372;3008;4065;4014;2057;1466;916;663;22422
3175;;914;;1284;2325;3229;4797;4613;2205;;1289;785;
2462;;;;;863;1482;2287;2556;823;808;;;
6000A;835;659;852;823;1130;1192;1980;1128;606;722;835;950;11712
7178I;;926;925;864;;;2295;2079;1496;990;988;813;
7228;1201;1133;1128;1054;2025;2137;2679;2374;1731;1112;1181;966;18721
7031;1345;1059;951;1116;1701;1506;1516;1728;1548;1271;1461;1312;16514
1484C;286;424;681;532;533;709;624;;;;;;
2867;582;916;;1094;1889;2254;2633;2730;1384;1213;529;480;
C929I;1156;1146;1431;1121;1640;1428;1383;1195;1304;1084;1072;1113;15073
C449C;1186;;;;;;;;;;;;
C447A;714;774;698;812;1044;;1297;;1245;;667;;
2465;;;;;1272;;;;;;399;590;
5796;553;746;1640;1326;2544;2590;3874;3255;;2068;1153;888;
2030;;571;;;1145;1189;;;;;609;;
0016A;;719;;925;;1316;;1477;990;862;1018;1064;
9981A;1244;731;1108;990;1547;1471;1664;1506;780;663;1036;879;13619
8368U;;865;;;;;;;1146;;;;
8414A;878;705;741;738;1291;1342;1529;1407;937;801;874;876;12119
2422;175;470;981;821;1372;1626;2436;2397;1144;938;405;264;13029
2539;;729;1203;;1698;1967;3092;3340;1756;1388;730;606;
2614;;437;;;;;;;;;445;;
9390;;791;1074;933;1534;1658;2728;2360;1154;1033;496;;
9434;1326;1136;2385;2068;2665;3086;4380;;2021;1823;1666;682;
