Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;102;109;102;114;129;156;173;177;173;147;113;121;135
1387E;97;105;95;110;121;151;168;175;170;139;;113;
1428;96;107;;;114;146;159;;160;137;99;110;
8175;69;87;78;97;105;129;118;143;145;118;82;88;105
8178D;67;80;74;96;112;138;152;165;145;117;82;86;110
8025;81;104;106;132;146;188;224;237;212;168;102;103;150
8019;82;107;112;137;152;193;228;245;;170;;105;
6325O;;122;119;146;163;193;240;266;222;180;114;115;
9091O;77;91;80;86;113;154;157;161;157;114;89;90;114
1212E;93;104;;;122;158;173;177;173;138;;106;
1208H;93;105;107;113;128;166;179;186;182;148;113;115;136
1249I;82;92;92;101;119;156;168;171;166;131;99;98;123
2444;60;74;65;84;89;103;93;98;115;94;70;77;85
4452;92;111;88;122;112;131;139;146;156;143;99;117;121
B954;99;120;122;139;164;209;249;255;242;174;126;119;168
B893;101;121;114;126;147;199;214;222;235;159;130;116;157
B278;96;111;104;;145;201;218;225;227;159;122;116;
B228;;118;111;127;156;218;240;247;242;170;124;119;
0200E;71;100;90;99;125;164;187;198;193;;89;88;
0076;83;116;;112;148;194;223;;218;;104;97;
1082;90;103;91;97;127;170;182;182;185;135;107;102;131
2331;68;85;71;83;103;133;121;124;129;99;76;82;98
3469A;86;104;87;116;109;120;116;119;142;126;88;107;110
5973;122;139;127;159;159;187;210;233;221;181;128;138;167
5960;109;128;108;141;138;172;183;207;190;149;107;121;146
5910;113;131;111;;139;180;192;215;208;162;114;129;
6001;;141;135;158;160;195;220;238;223;191;;135;
1111;93;101;100;;130;170;186;187;184;141;114;115;
1109;93;101;100;;125;;180;188;186;147;116;110;
8500A;74;105;103;120;144;185;219;228;214;155;94;96;145
5000C;117;131;131;151;156;190;196;226;213;189;129;133;164
4121;78;92;77;102;97;107;102;114;136;110;82;92;99
5402;95;115;97;129;116;129;;139;149;128;94;;
8096;65;78;63;85;92;111;95;114;122;96;69;78;89
1014;93;103;97;99;135;178;187;185;188;138;107;106;135
1024E;86;100;90;93;124;167;182;183;180;135;100;97;128
0367;73;;95;;;171;186;196;;144;97;90;
5530E;80;92;83;110;115;127;133;151;140;117;86;91;110
5514;;81;74;99;96;110;115;123;114;108;78;84;
3013;;70;59;79;95;125;111;118;122;89;65;71;
4642E;106;128;108;146;125;152;160;180;181;150;103;123;139
9898;70;95;75;87;100;134;140;141;148;111;76;84;105
5270B;79;96;76;105;;106;90;;123;108;85;;
9170;75;96;81;;109;141;143;146;159;112;85;88;
C249I;150;142;;;167;179;209;214;229;;165;155;
C649I;146;132;;154;;162;186;192;213;184;158;151;
C029O;147;140;;155;158;164;198;198;210;187;155;143;
2661;65;81;68;80;93;117;110;109;127;98;71;83;92
1549;72;88;73;86;97;126;126;135;138;113;78;89;102
9771C;74;102;84;100;118;155;170;175;182;132;86;87;122
1505;84;93;88;100;;146;157;161;151;129;94;100;
3191E;62;79;67;87;97;111;113;112;128;103;69;79;92
3129;66;;71;95;101;115;105;111;133;106;;85;
3196;70;89;71;95;104;119;111;120;136;112;75;88;99
3200;72;94;81;97;97;;119;135;141;;78;90;
3195;69;87;66;91;;119;111;;136;109;75;88;
3175;;89;68;91;99;;103;118;139;108;74;84;
2462;48;61;56;72;82;94;86;84;101;79;56;55;73
6155A;103;122;124;147;151;173;195;232;208;174;106;118;154
6000A;113;130;130;150;160;195;206;241;228;188;129;127;166
7178I;;98;103;127;135;171;191;210;191;160;97;99;
7228;77;98;101;126;133;167;188;207;192;159;98;100;137
9263D;72;90;78;83;110;153;160;156;155;108;;85;
1690A;88;105;85;107;109;141;152;159;;140;98;109;
1484C;97;111;96;118;128;149;168;178;174;152;106;123;133
1495;93;107;;118;125;153;167;178;169;149;;113;
2867;67;83;68;92;100;124;126;127;132;104;73;86;99
2870;70;83;73;93;103;;133;145;131;107;76;90;
C929I;154;145;151;164;167;;211;221;229;203;178;164;
C430E;;;;50;;44;;;58;;;41;
C139E;149;140;144;;;180;207;209;225;190;171;160;
C449C;145;134;;153;143;157;181;189;210;180;161;156;
C447A;;121;;143;144;;;;189;152;146;138;
C429I;;131;132;158;151;166;195;190;214;184;157;;
2465;64;76;63;87;96;105;95;94;114;92;71;76;86
5796;100;112;;126;136;167;189;210;184;148;100;111;
5783;108;128;;131;117;142;;172;;;102;;
2030;61;79;62;78;;124;111;109;122;88;64;76;
0016A;75;104;;106;130;173;199;201;199;146;87;89;
9981A;77;109;94;114;136;188;214;217;222;154;94;98;143
9381I;56;74;65;83;99;135;122;133;138;97;71;75;96
8368U;56;74;66;88;105;141;121;154;144;98;72;73;99
3260B;75;97;79;103;104;115;106;115;;113;81;;
8414A;75;104;100;120;134;174;203;222;210;162;94;97;141
2422;71;87;70;90;97;116;105;106;127;101;75;88;94
2539;68;85;69;89;99;;;105;127;99;71;84;
2614;73;91;74;95;99;120;108;110;133;108;77;93;98
9390;59;77;66;84;100;135;123;132;139;98;72;77;97
9434;76;97;;91;112;146;151;152;;;83;88;
