Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;;23921;47129;54224;69231;68358;65328;66203;;34486;23775;;
1428;13742;;;42639;63575;64991;61678;62057;43064;;24000;14904;
8178D;25986;33611;50931;56545;80128;;90465;74499;;44236;30075;;
8019;28600;33557;50388;53676;78259;78783;84974;69080;;41888;;24388;
6325O;31656;39879;52593;59828;78287;81815;84428;71872;;;;27949;
B954;26875;31729;48289;;78952;;81894;69022;;;21766;;
B228;25723;32983;48969;55463;76514;77284;86743;70070;;38733;21155;22602;
1082;12784;19574;38603;47931;55863;54607;57914;;41277;33267;14719;15092;
3469A;24982;29219;56068;55919;;83140;90703;80512;53554;44269;31399;21351;
5973;26562;34729;57678;63150;82908;83817;88776;77566;61253;;;28005;
5960;;;;;;;83845;;53714;44272;;;
1111;17118;22553;;;64576;59675;63361;59211;43296;38648;15851;;
4121;23103;30773;52458;53357;78045;78154;;;;41946;27874;25154;
5402;24305;;;;78799;83337;;76248;;43781;31542;;
1024E;;18818;37994;49920;;52259;53539;;;34973;14845;14875;
0367;21552;24790;;;;;72193;;;;;;
5514;;35010;56586;56486;79017;85310;;74507;58551;49461;31354;26258;
4642E;27376;29977;56160;61381;82701;84687;89796;77585;60065;;;;
9170;20271;23254;44036;50840;;;76483;75056;43972;37692;;;
C249I;39671;45612;;;80744;81992;87035;83453;68201;58809;44471;38774;
C649I;42759;44619;65548;;;76224;;83064;67849;58510;42714;;
C029O;39869;46054;64739;;;;81309;77820;64580;;38303;;
2661;22935;23916;52901;53221;;77707;86152;77837;45400;39151;;16160;
1549;;20771;47931;53879;;;82225;73766;;36890;;15074;
9771C;22503;;53119;55698;78793;;;72728;;42599;25716;;
2462;20119;27801;49907;46232;64567;74168;;74326;;43266;;16964;
7178I;;33212;49537;51663;;79171;85411;70611;;43583;30539;23752;
9263D;15410;;40246;49185;61176;;;68228;45864;33731;;11436;
1495;;;;;69008;71199;70077;61662;;;;16681;
2867;23090;27437;;56599;73061;;87848;78382;48661;41422;24840;17369;
C430E;;;78501;;98123;94949;98182;;;;;;
C449C;38807;48454;64443;68089;80609;77206;88061;83675;;56985;36210;35849;
C447A;;;57629;;;;;;;;;30858;
C429I;43346;46387;66822;72726;82784;80406;86949;77763;68039;58305;41612;42379;767518
5783;26284;29175;52851;56146;76665;78488;;73603;54595;;23984;17660;
2030;23447;26710;51048;51652;68714;77502;85072;76256;;42788;;19363;
0016A;25098;26048;;50181;;70017;76095;60470;;;26553;22519;
9981A;24459;23772;49589;48089;70506;69681;;60609;46266;41312;26121;23675;
8368U;24636;32506;50178;50690;70204;73704;84237;68257;;;;;
3260B;;;;;80504;79309;;;;;;;
8414A;26965;29591;48328;49369;;73530;83534;66529;52221;;28122;;
2422;20413;26182;54022;54086;74117;77586;88174;;50807;42092;26153;;
