Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;22;20;7;10;16;10;14;3;14;16;14;18;164
1387E;27;20;6;12;14;11;11;6;15;19;20;19;180
1428;24;23;8;14;17;11;13;6;16;15;12;20;179
8175;10;3;4;15;4;6;0;5;6;5;8;6;72
8178D;13;4;5;16;6;6;1;4;6;6;9;8;84
8025;6;2;4;15;4;5;1;1;6;6;9;3;62
8019;7;2;5;14;5;7;2;2;6;9;9;7;75
6325O;7;3;5;6;6;3;0;0;1;3;6;0;40
9091O;16;13;7;13;13;11;4;6;15;10;16;14;138
1212E;21;18;12;10;18;16;12;8;15;15;17;14;176
1208H;20;17;11;10;20;15;10;10;18;13;17;14;175
1249I;16;17;9;13;19;14;10;5;17;11;18;14;163
2444;12;9;4;19;8;11;3;3;8;7;11;10;105
4452;12;13;2;11;2;6;0;0;7;5;4;14;76
B954;7;3;7;10;5;2;1;2;7;10;21;8;83
B893;16;11;9;7;6;6;1;2;11;7;24;8;108
B278;10;5;6;10;6;4;1;3;7;6;18;8;84
B228;12;5;5;11;4;6;3;3;10;9;22;5;95
0200E;9;9;6;11;6;6;1;6;14;7;11;3;89
0076;9;;3;6;7;5;;3;12;8;10;3;
1082;22;15;10;10;17;13;13;11;15;9;18;13;166
2331;12;14;6;13;12;12;1;2;11;7;15;12;117
3469A;11;14;0;13;3;6;0;1;7;7;3;9;74
5973;18;12;5;9;2;3;0;1;2;4;6;9;71
5960;17;14;5;10;3;4;1;0;5;4;8;12;83
5910;18;12;4;8;5;3;0;1;5;4;6;9;75
6001;;14;7;11;3;3;0;2;3;;;12;
1111;21;13;12;11;17;16;15;12;15;14;18;13;177
1109;21;14;10;11;20;15;12;9;16;12;18;13;171
8501;;;;;4;7;2;8;8;6;6;1;
8500A;5;4;7;13;7;5;4;8;8;4;3;2;70
5000C;15;11;7;6;5;2;0;3;4;3;14;10;80
4121;14;9;4;14;4;6;0;3;7;4;8;8;81
5402;15;10;4;13;5;3;0;0;5;4;7;10;76
8096;16;10;2;18;4;8;2;4;9;5;10;9;97
1014;20;16;14;11;17;14;14;10;17;12;20;14;179
1024E;22;15;10;10;17;13;17;15;16;11;20;12;178
0367;5;8;7;11;10;7;5;5;9;5;15;3;90
5530E;14;8;5;9;4;4;0;1;4;3;10;12;74
5514;13;8;5;10;5;5;0;1;6;3;9;11;76
3013;14;9;2;13;13;11;3;6;5;6;10;5;97
4642E;11;12;3;8;2;0;0;0;4;4;4;8;56
9898;12;9;2;14;5;8;4;7;6;5;6;8;86
5270B;13;10;4;16;5;5;0;0;5;4;10;9;81
9170;11;10;5;11;10;12;2;3;10;7;14;16;111
C249I;6;5;1;0;1;0;0;0;0;1;2;1;17
C649I;12;8;5;5;0;0;1;2;1;1;8;3;46
C029O;9;6;5;3;0;1;0;0;0;0;4;1;29
2661;14;14;3;11;11;12;2;1;11;8;6;14;107
1549;12;17;3;10;10;12;0;5;12;9;5;17;112
9771C;12;8;1;11;4;6;5;4;5;4;6;17;83
1505;19;18;12;12;14;13;11;6;15;18;15;;
3191E;13;9;3;20;10;7;2;4;9;5;6;11;99
3129;11;8;2;19;10;6;3;2;6;6;5;8;86
3196;10;10;1;15;8;5;2;1;7;5;6;6;76
3200;9;9;2;16;7;6;2;1;6;6;4;5;73
3195;8;12;1;19;8;8;2;2;8;5;4;7;84
3175;10;7;3;20;8;7;3;3;8;5;4;6;84
2462;17;12;7;19;12;10;3;2;12;9;17;18;138
6155A;8;5;4;9;6;2;0;0;4;1;5;6;50
6000A;10;3;6;9;3;2;0;3;7;2;10;5;60
7178I;6;0;5;16;5;4;2;1;5;8;7;5;64
7228;7;0;5;13;5;4;2;1;5;5;6;4;57
7031;5;0;6;10;5;5;0;0;7;6;9;1;54
9263D;15;13;9;13;13;14;5;4;11;8;15;12;132
9262;15;;6;12;10;14;3;2;9;6;13;14;
1690A;14;17;5;14;11;11;3;3;15;12;8;16;129
1484C;15;21;8;15;15;9;13;6;11;15;10;19;157
1495;21;21;8;13;18;10;14;8;12;14;11;19;169
2867;11;10;4;15;6;10;3;2;9;7;6;10;93
2870;13;14;5;15;5;8;3;2;9;8;4;3;89
C929I;10;7;6;7;1;1;2;2;3;1;4;6;50
C430E;10;7;4;4;0;3;0;0;1;1;5;3;38
C139E;14;6;7;4;4;3;0;1;10;5;16;10;80
C449C;6;7;8;3;1;0;0;0;2;6;7;8;48
C447A;16;9;11;10;10;11;6;10;7;7;13;12;122
C429I;4;3;0;3;1;1;0;0;0;2;4;6;24
2465;14;10;3;17;10;11;3;2;10;8;12;11;111
5796;14;13;6;9;4;5;0;0;5;4;7;10;77
5783;15;10;4;9;3;3;1;0;3;;6;;
2030;15;11;4;16;13;15;4;3;7;5;9;10;112
0016A;6;6;2;8;5;8;5;4;7;6;5;0;62
9981A;8;10;6;16;9;10;6;8;11;4;7;4;99
9381I;10;9;2;16;10;12;5;8;5;6;10;9;102
8368U;10;7;3;17;8;10;5;9;7;6;7;5;94
3260B;;6;2;15;4;8;2;3;6;6;5;;
8416;7;2;6;18;4;8;3;8;9;7;12;1;85
8414A;8;3;7;17;3;9;3;7;10;6;11;5;89
2422;10;12;3;15;9;11;0;1;8;8;9;10;96
2539;13;12;2;15;7;11;0;1;8;6;8;14;97
2614;10;13;3;15;6;10;1;3;8;6;5;14;94
9390;12;8;4;16;11;10;4;4;9;6;11;5;100
9434;8;7;0;12;10;10;2;3;8;5;10;12;87
