Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;0;0;0;0;0;0;0;0;0;0;0;0
1387E;8;0;1;0;0;0;0;0;0;0;0;0;9
1428;8;0;0;0;0;0;0;0;0;0;0;0;8
8175;19;2;8;1;0;0;0;0;0;0;8;5;43
8178D;18;0;1;0;0;0;0;0;0;0;2;2;23
8025;0;0;0;0;0;0;0;0;0;0;0;0;0
8019;0;0;0;0;;0;0;0;;0;;0;
6325O;0;0;0;0;0;0;0;0;0;0;0;0;0
9091O;15;0;5;7;0;0;0;0;0;2;2;3;34
1212E;1;0;;;0;0;0;0;0;0;;0;
1208H;0;0;0;0;0;0;0;0;0;0;0;0;0
1249I;6;0;0;0;0;0;0;0;0;0;0;0;6
2444;19;4;13;2;0;0;0;0;0;0;15;4;57
4452;12;0;0;0;0;0;0;0;0;0;0;1;13
B954;1;0;0;0;0;0;0;0;0;0;0;0;1
B893;1;0;0;0;0;0;0;0;0;0;0;0;1
B278;5;0;0;0;0;0;0;0;0;0;0;0;5
B228;0;0;0;0;0;0;0;0;0;0;0;0;0
0200E;3;0;0;0;0;0;0;0;0;0;0;0;3
0076;1;0;;0;0;0;;;0;;0;0;
1082;2;0;0;0;0;0;0;0;0;0;0;0;2
2331;22;4;10;11;1;0;0;0;0;5;8;11;72
3469A;13;0;0;0;0;0;0;0;0;0;0;0;13
5973;0;0;0;0;0;0;0;0;0;0;0;0;0
5960;10;0;1;0;;0;0;0;0;0;;0;
5910;3;0;0;0;0;0;0;0;0;0;0;0;3
6001;;0;0;0;0;0;0;0;0;0;;0;
1111;0;0;0;0;0;0;0;0;0;0;0;0;0
1109;1;0;0;0;0;0;0;0;0;0;0;0;1
8500A;0;0;0;0;0;0;0;0;0;0;0;0;0
5000C;0;0;0;0;0;0;0;0;0;0;0;0;0
4121;16;0;0;0;0;0;0;0;0;0;1;2;19
5402;11;0;1;0;0;0;;0;0;0;1;3;
8096;20;0;5;1;0;0;0;0;0;0;6;6;38
1014;3;0;0;0;0;0;0;0;0;0;0;0;3
1024E;3;0;0;0;0;0;0;0;0;0;0;0;3
0367;16;;2;1;0;0;0;0;0;0;3;9;
5530E;15;4;3;0;0;0;0;0;0;0;8;11;41
5514;16;1;3;0;0;0;0;0;0;0;4;7;31
3013;21;15;23;10;0;0;0;0;0;9;24;16;118
4642E;4;0;0;0;0;0;0;0;0;0;0;0;4
9898;15;0;3;1;0;0;0;0;0;0;1;8;28
5270B;4;0;0;0;;0;0;0;0;0;0;0;
9170;8;0;2;0;0;0;0;0;0;0;2;0;12
C249I;0;0;;;0;0;0;0;0;;0;;
C649I;;0;;;;0;0;0;0;;0;0;
C029O;0;0;;0;0;0;0;0;0;0;;0;
2661;19;5;8;5;0;0;0;0;0;0;11;4;52
1549;19;3;3;0;0;0;0;0;0;0;5;5;35
9771C;17;0;2;0;0;0;0;0;0;0;4;2;25
1505;14;3;8;3;1;0;0;0;0;0;3;6;38
3191E;14;0;2;1;0;0;0;0;0;0;2;0;19
3129;20;0;5;0;0;0;0;0;0;0;5;10;40
3196;18;0;1;0;0;0;0;0;0;0;0;1;20
3200;19;0;1;0;0;0;0;0;0;0;0;0;20
3195;18;0;0;0;;0;0;0;0;0;0;0;
3175;20;1;;1;0;0;0;;0;;4;11;
2462;25;14;19;6;6;0;0;0;0;0;20;14;104
6155A;0;0;0;0;0;0;0;0;0;0;0;0;0
6000A;0;0;0;0;0;0;0;0;0;;0;0;
7178I;2;0;0;0;0;0;0;0;0;0;0;0;2
7228;6;0;0;0;0;0;0;0;0;0;0;0;6
7031;2;0;0;0;0;0;0;0;0;0;0;0;2
9263D;15;2;3;6;0;0;;0;0;0;;8;
9262;10;;1;0;0;0;0;0;0;0;1;6;
1690A;12;1;2;0;0;0;0;0;0;0;0;3;18
1484C;4;0;0;0;0;0;0;0;0;0;0;0;4
1495;5;0;;0;0;0;0;0;0;0;;0;
2867;19;5;14;3;0;0;0;0;0;5;20;13;79
2870;19;1;4;0;0;0;0;0;0;0;4;6;34
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;8;10;9;2;3;0;0;0;0;0;6;5;43
C139E;0;0;0;0;;0;0;0;0;0;0;0;
C449C;0;0;0;0;0;0;0;0;0;0;0;0;0
C447A;0;0;0;0;0;0;0;0;0;0;0;0;0
C429I;0;0;0;0;;0;0;0;0;0;0;0;
2465;18;0;9;3;0;0;0;0;0;0;8;2;40
5796;6;0;0;0;0;0;0;0;0;0;0;0;6
5783;4;0;;0;0;0;;0;;;0;;
2030;21;4;7;5;0;0;0;0;0;4;15;12;68
0016A;10;0;;0;0;0;0;0;0;0;0;0;
9981A;0;0;0;0;0;0;0;0;0;0;0;0;0
9381I;21;4;14;7;0;0;0;0;0;4;14;14;78
8368U;20;7;11;4;0;0;0;0;0;2;9;13;66
3260B;19;0;1;0;0;0;0;0;;0;0;;
8416;0;0;0;0;0;0;0;0;0;0;0;0;0
8414A;8;0;0;0;0;0;0;0;0;0;0;0;8
2422;20;1;2;2;0;0;0;0;0;0;6;6;37
2539;20;1;11;4;0;0;0;0;0;1;15;13;65
2614;20;1;6;1;0;0;0;0;0;0;5;6;39
9390;20;1;10;6;0;0;0;0;0;2;10;13;62
9434;8;0;0;0;0;0;0;0;0;0;0;0;8
