Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;0;0;0;0;0;0;0;1;1;0;0;2
1387E;3;1;4;1;1;1;1;6;2;6;;0;
1428;7;1;1;2;1;0;5;9;7;3;5;2;43
8175;4;1;1;2;0;0;0;0;2;3;1;3;17
8178D;;;;;;;0;;;;;;
8025;0;0;0;0;0;0;0;0;0;0;0;0;0
8019;0;0;0;0;0;0;0;0;0;0;0;1;1
6325O;2;1;0;0;0;0;0;0;0;0;0;0;3
9091O;4;2;2;2;0;2;1;4;6;5;2;4;34
1212E;0;1;0;0;0;5;3;0;1;0;0;2;12
1249I;2;3;1;4;3;8;6;1;4;5;3;0;40
2444;2;0;0;2;0;0;0;0;0;1;2;1;8
4452;8;2;2;1;0;0;0;0;3;0;2;5;23
B954;0;0;0;0;0;0;0;0;0;0;0;2;2
B893;0;2;0;0;0;0;0;1;0;0;0;1;4
B278;1;0;0;0;0;0;0;0;0;0;0;3;4
B228;0;1;0;0;0;0;0;0;0;0;0;3;4
0200E;0;8;3;4;0;0;0;0;0;1;2;1;19
0076;0;0;0;0;0;0;0;0;0;0;0;0;0
1082;0;0;0;0;0;0;0;0;0;2;0;1;3
2331;4;1;3;2;0;0;1;2;2;2;2;2;21
3469A;3;1;0;0;0;0;1;0;0;0;0;0;5
5960;4;3;0;3;0;0;0;0;0;0;3;0;13
5910;4;2;0;1;0;0;1;0;0;0;1;0;9
1111;0;0;0;0;1;1;2;0;0;0;0;2;6
1109;1;0;0;0;0;0;0;0;0;0;0;3;4
8500A;0;1;0;0;0;0;0;0;0;0;0;0;1
4121;1;1;1;0;0;0;0;0;0;2;0;1;6
5402;0;0;0;0;0;0;0;0;0;0;0;0;0
1014;1;0;0;0;0;0;0;0;0;0;0;2;3
1024E;3;3;2;2;4;2;3;0;3;2;6;3;33
0367;0;1;2;0;0;0;0;0;0;1;0;2;6
5530E;1;3;1;0;1;0;0;0;0;0;0;3;9
5514;0;2;0;0;0;0;0;0;0;0;0;0;2
3013;4;3;1;2;2;2;0;0;3;0;2;4;23
4642E;;;;;;;;;;0;0;0;
9898;5;1;1;1;0;0;0;0;0;0;0;2;10
5270B;1;0;0;0;0;0;0;0;0;0;0;0;1
9170;0;0;0;0;0;0;0;0;0;0;1;5;6
C249I;0;0;0;0;0;0;0;0;0;0;0;0;0
C649I;0;0;0;0;0;0;0;0;0;0;0;0;0
C029O;0;0;0;0;0;0;0;0;0;0;0;0;0
2661;5;0;1;0;0;0;0;0;2;4;2;4;18
1549;4;3;0;0;0;0;0;0;1;3;10;4;25
9771C;6;1;0;0;0;1;0;0;1;2;4;7;22
1505;7;;;;;;;;0;0;0;0;
3191E;7;5;0;1;0;0;0;0;1;3;1;6;24
3129;0;0;0;0;0;0;0;0;0;0;0;0;0
3196;;1;0;0;0;0;0;0;0;0;1;2;
3200;2;1;0;1;0;0;0;0;0;0;1;1;6
3175;;0;1;0;0;0;0;0;0;0;0;0;
2462;18;16;6;16;10;6;2;1;5;6;17;;
6155A;0;2;0;0;0;0;0;0;0;0;0;1;3
6000A;0;0;0;0;0;0;0;1;0;0;0;1;2
7178I;;;;0;;0;0;0;0;0;;;
7228;0;0;0;0;0;0;0;0;0;1;0;2;3
9263D;1;0;0;1;0;0;0;0;0;0;0;13;15
1690A;;;;;;;;;0;0;0;0;
1484C;0;0;0;0;0;0;0;;;;;;
1495;12;6;2;4;2;1;7;4;5;9;4;12;68
2867;3;1;3;1;0;0;0;0;2;3;5;6;24
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;2;4;7;10;1;0;0;1;3;0;2;;
C139E;0;0;0;0;0;0;0;0;0;0;0;0;0
C449C;0;0;0;0;0;0;0;0;0;0;0;0;0
C447A;4;0;1;0;0;3;4;2;0;0;0;3;17
C429I;0;0;0;0;0;0;0;0;0;0;0;0;0
2465;1;0;0;0;1;0;0;0;0;0;6;;
5796;3;4;0;1;0;0;0;0;0;0;1;1;10
5783;2;3;1;0;0;0;0;0;0;1;0;1;8
2030;2;3;0;0;1;0;0;0;2;0;0;0;8
0016A;0;0;1;0;0;0;0;0;0;0;0;0;1
9981A;0;1;1;0;0;0;0;0;0;0;0;0;2
9381I;5;1;2;0;0;0;0;0;3;5;4;2;22
8368U;4;0;1;0;0;0;0;0;1;0;0;;
3260B;;;;;;;;;;0;0;0;
8414A;0;1;0;0;0;0;0;0;0;0;0;0;1
2422;8;1;1;0;0;0;0;0;0;2;3;7;22
2539;6;1;1;0;0;0;0;0;0;1;5;5;19
2614;;1;0;0;0;0;;0;0;;0;0;
9390;3;0;3;0;0;0;0;0;2;1;3;2;14
9434;2;0;0;0;0;0;0;0;0;0;0;10;12
