Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387E;10;9;6;9;4;10;11;7;6;8;;7;
1428;14;16;9;12;8;10;12;6;6;12;3;13;121
8175;6;9;7;9;5;1;0;2;4;1;3;3;50
8019;5;3;7;7;3;3;0;1;4;4;3;6;46
6325O;6;6;;6;5;2;1;0;1;1;2;6;
9091O;21;20;14;15;8;11;6;5;10;7;18;12;147
1212E;8;11;13;10;6;17;11;11;12;8;14;17;138
1208H;;;;;;;;;;;16;18;
1249I;14;14;13;11;16;19;16;12;16;;;;
4452;11;11;2;9;3;1;1;0;4;3;2;9;56
B954;5;;8;12;3;4;0;0;6;4;8;5;
B893;5;5;5;10;6;4;0;1;8;4;17;10;75
B278;6;3;6;5;2;4;1;2;4;4;11;8;56
B228;5;6;7;10;5;3;;;8;5;9;9;
0200E;7;10;8;11;6;5;2;3;7;5;9;3;76
0076;5;7;8;8;5;1;2;2;4;4;5;2;53
1082;19;15;13;16;13;14;15;12;10;8;20;12;167
2331;17;13;5;13;8;7;3;0;9;7;14;14;110
5960;8;8;2;3;2;1;0;0;1;2;0;4;31
5910;12;8;5;5;4;1;1;1;2;4;2;6;51
6001;;;;;;;;;;2;4;;
1111;13;12;9;15;9;10;12;7;9;6;19;12;133
1109;14;13;13;15;11;12;14;10;9;8;16;9;144
8500A;;;;;;;;;9;6;8;;
5402;;;;11;;3;0;0;4;;;;
1014;20;17;9;13;10;15;15;14;13;10;18;15;169
1024E;19;17;12;15;12;14;17;12;12;11;18;14;173
0367;7;12;10;12;13;5;3;3;3;5;7;1;81
5530E;7;8;4;7;3;2;1;0;2;3;5;7;49
5514;11;6;5;5;4;1;0;1;1;2;6;5;47
4642E;;;;;;;;;;3;;;
5270B;;;;;;;;;;2;;5;
9170;;;;;;;;;;;11;18;
C249I;5;0;0;0;1;2;0;0;1;1;1;2;13
C649I;3;0;1;1;0;3;0;0;1;1;4;2;16
C029O;5;1;0;0;0;2;1;0;1;1;3;1;15
2661;7;12;6;12;4;6;1;0;10;5;2;12;77
9771C;7;8;4;9;2;4;1;0;4;4;5;15;63
1505;;;;;;;;;12;12;10;;
3191E;8;12;9;11;5;4;2;0;6;5;6;11;79
3129;11;9;7;10;5;4;0;0;5;4;5;6;66
3196;;;7;17;3;2;1;0;5;6;3;9;
3200;10;13;5;11;4;2;1;0;3;4;4;7;64
3195;;;;;;;;;;6;4;;
3175;;10;6;7;6;2;1;0;7;5;;6;
2462;17;15;7;19;11;5;3;0;11;6;18;;
6155A;6;7;6;6;4;0;0;1;3;0;1;7;41
6000A;5;6;13;12;10;8;4;4;5;3;3;7;80
7178I;;;;12;;;0;1;6;4;;;
7228;3;8;7;11;5;2;0;1;3;1;3;6;50
9263D;;17;8;13;8;6;6;2;4;6;16;21;
1690A;;;;;;;;;8;10;4;;
1484C;13;15;9;11;8;6;10;;;;;;
1495;16;19;7;10;8;6;10;7;8;11;4;13;119
2867;;19;7;9;5;4;1;0;7;5;4;12;
2870;;;;;;;;;;7;6;;
C929I;3;0;0;0;0;1;1;1;2;0;2;0;10
C139E;4;4;5;3;4;3;1;1;2;3;7;5;42
C447A;5;;;3;;5;4;2;;3;;;
C429I;4;1;0;1;1;1;0;3;1;0;1;1;14
5796;10;11;4;5;2;2;0;0;3;4;3;7;51
5783;3;9;3;3;2;0;0;0;3;3;3;7;36
2030;;;;;;;;;;6;7;;
0016A;5;10;7;13;5;4;2;5;8;4;4;4;71
9981A;5;10;9;13;6;5;1;6;4;1;3;4;67
9381I;7;4;4;10;4;5;1;2;5;4;5;6;57
8368U;;;;;;;;;;4;7;;
3260B;;;;;;;;;;6;5;;
8414A;5;9;8;11;4;3;0;4;4;4;6;3;61
2422;10;12;3;10;5;3;0;0;5;5;4;9;66
2539;13;;5;14;9;5;1;0;7;6;5;11;
2614;;;;;;;;;;;4;;
9390;9;7;5;13;7;5;1;0;7;3;8;7;72
9434;8;8;3;13;6;3;2;0;4;5;6;18;76
