Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387E;0;2;7;8;3;7;3;5;3;6;;5;
1428;5;2;8;7;2;6;6;5;3;6;7;4;61
8175;8;4;9;3;5;10;19;8;4;4;10;7;91
8019;11;3;8;2;9;9;17;9;6;2;5;9;90
6325O;9;5;;0;6;16;18;12;12;5;13;11;
9091O;0;2;2;1;0;0;3;1;0;3;1;0;13
1212E;3;0;4;1;1;0;1;0;0;4;3;5;22
1208H;;;;;;;;;;;5;4;
1249I;4;1;3;5;2;0;0;1;1;;;;
4452;7;2;10;2;7;10;25;21;7;10;13;8;122
B954;5;;6;4;2;7;14;7;3;3;0;3;
B893;2;1;3;0;2;9;18;10;0;4;1;1;51
B278;5;2;6;2;2;7;16;11;0;5;0;1;57
B228;4;3;4;3;2;5;;;2;2;0;3;
0200E;2;1;7;1;0;5;10;3;1;3;6;6;45
0076;4;1;7;3;1;6;11;5;2;7;6;4;57
1082;0;2;3;1;0;0;2;3;1;6;2;8;28
2331;1;2;3;3;0;7;13;7;0;7;2;4;49
5960;7;4;11;0;10;16;26;22;12;9;12;13;142
5910;8;1;10;3;12;12;24;13;10;8;11;9;121
6001;;;;;;;;;;6;12;;
1111;0;1;3;3;1;0;3;2;0;5;1;4;23
1109;0;2;2;3;1;1;4;3;0;5;2;5;28
8500A;;;;;;;;;6;4;9;;
5402;;;;0;;15;25;18;11;;;;
1014;1;2;3;5;1;0;3;4;2;7;1;9;38
1024E;0;1;3;3;0;0;3;4;3;6;1;8;32
0367;4;1;5;1;2;4;9;6;0;6;6;9;53
5530E;11;5;6;0;8;15;24;14;9;8;12;12;124
5514;9;6;5;0;10;17;25;17;11;10;11;12;133
4642E;;;;;;;;;;13;;;
5270B;;;;;;;;;;13;;13;
9170;;;;;;;;;;;3;3;
C249I;5;6;6;2;4;4;17;8;8;4;0;8;72
C649I;4;6;7;0;3;2;13;11;5;9;2;8;70
C029O;8;5;4;0;4;3;15;11;12;9;2;8;81
2661;6;2;7;7;2;9;12;18;0;6;10;3;82
9771C;5;5;14;8;11;12;21;16;8;16;10;2;128
1505;;;;;;;;;0;7;5;;
3191E;7;0;11;4;3;5;17;15;3;13;10;5;93
3129;7;2;11;5;6;6;20;14;4;11;11;7;104
3196;;;6;4;2;5;18;11;2;8;11;5;
3200;5;0;8;4;4;6;19;14;3;11;11;8;93
3195;;;;;;;;;;12;12;;
3175;;0;10;4;4;7;17;16;2;14;;7;
2462;5;0;5;4;2;4;13;14;1;11;4;;
6155A;10;1;8;1;8;15;24;14;10;4;13;9;117
6000A;5;2;6;2;9;8;11;7;12;0;6;7;75
7178I;;;;0;;;19;7;6;1;;;
7228;8;1;7;0;5;10;16;6;4;1;8;10;76
9263D;;1;6;5;1;5;6;6;2;6;2;0;
1690A;;;;;;;;;2;6;5;;
1484C;10;1;7;6;3;8;9;;;;;;
1495;8;1;11;5;3;11;9;13;4;8;5;7;85
2867;;2;7;4;3;8;16;16;2;8;4;2;
2870;;;;;;;;;;11;8;;
C929I;5;8;5;5;4;5;0;14;11;6;2;5;70
C139E;2;5;7;1;4;2;7;8;1;1;0;3;41
C447A;5;;;1;;1;6;12;;6;;;
C429I;9;7;11;1;14;12;22;17;11;12;3;11;130
5796;9;5;9;0;13;15;26;20;10;8;13;10;138
5783;10;5;12;1;10;14;26;20;13;8;14;14;147
2030;;;;;;;;;;10;9;;
0016A;7;1;8;4;2;4;9;4;1;6;8;5;59
9981A;6;0;8;3;2;5;11;5;2;6;8;6;62
9381I;7;3;6;6;0;6;17;8;1;8;4;7;73
8368U;;;;;;;;;;7;2;;
3260B;;;;;;;;;;11;14;;
8414A;9;4;12;3;5;10;17;6;6;5;5;7;89
2422;3;2;6;7;3;6;15;20;1;10;6;1;80
2539;4;;7;6;4;7;18;20;1;8;6;4;
2614;;;;;;;;;;;10;;
9390;5;3;9;6;4;7;14;9;1;10;6;8;82
9434;6;2;8;9;3;10;13;11;2;10;6;0;80
