Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;1;0;0;0;4;3;5;4;2;3;2;24
1387E;14;1;7;7;8;8;4;6;9;11;;4;
1428;16;5;4;6;10;7;14;13;15;18;12;5;125
8175;8;1;1;3;0;1;0;0;3;6;2;7;32
8178D;2;1;0;0;0;0;0;0;3;3;2;3;14
8025;0;1;1;0;0;0;0;0;0;0;0;0;2
8019;2;1;1;1;1;0;1;0;0;0;0;2;9
6325O;4;2;0;0;0;0;0;0;0;0;0;2;8
9091O;6;5;5;2;5;6;4;7;6;9;3;7;65
1212E;1;1;1;0;3;8;7;2;1;0;0;4;28
1208H;0;0;0;0;0;2;1;0;0;3;;3;
1249I;4;3;2;7;5;11;8;2;7;9;13;9;80
2444;1;0;1;2;1;0;0;0;0;1;7;3;16
4452;7;4;2;5;0;0;0;0;3;1;3;6;31
B954;1;0;0;0;0;0;0;0;0;3;1;3;8
B893;3;3;3;3;2;3;0;1;2;0;1;1;22
B278;1;1;2;1;0;1;0;0;0;0;1;3;10
B228;1;0;1;1;0;0;0;0;0;0;0;1;4
0200E;1;9;3;6;0;3;0;3;1;1;1;2;30
0076;0;;0;0;0;0;;0;0;0;0;0;
1082;2;1;0;2;0;2;1;0;1;4;0;1;14
2331;8;3;3;3;0;1;2;4;3;2;3;5;37
3469A;4;3;0;2;0;1;1;0;0;;1;6;
5973;4;;;1;1;0;1;0;0;1;1;;
5960;7;5;2;4;0;0;2;0;1;0;4;3;28
5910;7;4;1;2;0;0;2;0;0;1;3;1;21
1111;2;0;0;0;0;1;2;0;0;0;0;4;9
1109;1;0;1;0;0;0;1;0;1;0;0;6;10
8501;;;;;0;0;0;0;0;;;;
8500A;0;1;2;0;0;0;0;0;0;0;0;;
5000C;2;0;;;0;;0;;3;0;0;;
4121;4;1;1;0;0;0;0;0;0;2;0;8;16
5402;5;2;1;1;1;0;0;0;0;0;1;2;13
8096;3;0;0;0;0;0;0;0;0;0;0;2;5
1014;2;0;1;0;0;0;0;0;0;0;2;2;7
1024E;9;8;4;3;11;12;9;4;10;4;9;7;90
0367;4;9;6;0;2;1;0;3;4;7;1;6;43
5530E;2;4;1;1;1;0;0;0;0;0;0;6;15
5514;1;2;0;0;0;0;0;0;0;0;0;1;4
3013;;4;2;1;2;3;1;0;4;2;5;7;
4642E;4;2;2;2;0;0;;;1;1;3;3;
9898;8;2;1;1;0;0;0;0;0;2;0;13;27
5270B;3;0;0;1;0;0;0;0;0;0;1;0;5
9170;2;1;0;0;0;0;0;0;0;3;2;14;22
C249I;1;0;0;0;0;0;0;0;0;0;0;0;1
C649I;0;0;0;0;0;0;0;0;0;0;0;0;0
C029O;0;0;0;0;0;0;0;0;0;0;0;0;0
2661;8;3;2;2;0;2;0;0;2;4;2;11;36
1549;7;3;0;0;0;1;0;0;2;8;15;9;45
9771C;6;2;0;0;0;1;0;0;0;2;3;15;29
1505;;;;;;;;;13;;;;
3191E;8;6;2;2;0;0;0;0;1;4;1;7;31
3129;5;0;0;0;0;1;0;0;0;0;1;7;14
3196;5;1;2;1;0;0;0;0;0;0;1;4;14
3200;5;1;0;1;0;0;0;0;0;0;1;4;12
3195;1;0;0;0;0;0;0;0;0;0;0;1;2
3175;5;2;1;0;0;0;0;0;0;0;2;2;12
2462;18;17;13;20;11;7;4;1;8;10;25;20;154
6155A;;3;0;1;1;0;1;0;1;1;0;2;
6000A;3;0;1;0;2;2;0;1;2;1;0;1;13
7178I;1;1;0;0;0;0;0;0;0;0;0;1;3
7228;0;1;0;0;0;1;0;0;0;0;0;1;3
7031;1;0;0;0;0;0;0;0;0;1;1;1;4
9263D;3;2;1;1;0;1;0;0;3;1;3;15;30
9262;0;;0;0;0;0;0;0;0;0;0;10;
1690A;;;;;;;;;1;7;8;;
1484C;4;0;0;0;0;0;0;3;0;0;1;;
1495;16;13;5;9;10;7;11;11;12;18;16;16;144
2867;4;2;4;3;0;1;1;0;6;4;10;5;40
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;12;11;9;11;3;4;0;0;4;3;14;3;74
C139E;0;0;0;0;0;0;0;0;1;0;0;0;1
C449C;0;0;0;0;0;0;0;0;0;0;0;0;0
C447A;3;2;2;2;5;7;12;6;1;2;3;6;51
C429I;0;0;0;0;0;0;0;0;0;0;0;0;0
2465;3;0;1;1;1;0;0;0;0;1;6;0;13
5796;5;8;2;2;0;1;0;0;0;0;3;4;25
5783;2;4;2;2;0;0;0;0;0;;1;;
2030;2;7;3;2;1;2;0;0;3;2;6;11;39
0016A;0;0;1;0;0;0;0;0;0;0;0;1;2
9981A;0;1;2;0;0;0;0;0;0;0;0;0;3
9381I;7;1;2;;0;0;;;;;5;4;
8368U;3;2;2;2;2;1;0;1;3;4;;;
3260B;;;;;;;;;;0;0;;
8416;0;1;0;0;0;0;0;0;0;0;0;0;1
8414A;0;2;3;1;0;0;0;0;0;0;0;0;6
2422;8;2;1;0;0;1;0;0;0;2;3;9;26
2539;9;3;1;1;1;1;1;0;2;3;6;9;37
2614;6;2;0;0;0;1;0;0;0;2;5;9;25
9390;4;0;3;0;1;0;0;1;2;3;3;3;20
9434;5;1;0;0;0;1;0;0;0;0;0;13;20
