Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;0;0;0;0;0;0;0;0;0;0;0;0
1387E;0;0;0;0;0;0;0;0;0;0;;0;
1428;0;0;0;0;0;0;0;0;0;0;0;0;0
8175;5;0;0;0;0;0;0;0;0;0;1;0;6
8178D;7;0;0;0;0;0;0;0;0;0;1;0;8
8025;0;0;0;0;0;0;0;0;0;0;0;0;0
8019;0;0;0;0;0;0;0;0;0;0;0;0;0
6325O;0;0;0;0;0;0;0;0;0;0;0;0;0
9091O;7;0;2;0;0;0;0;0;0;0;2;1;12
1212E;2;0;0;0;0;0;0;0;0;0;0;0;2
1208H;0;0;0;0;0;0;0;0;0;0;;0;
1249I;2;0;0;0;0;0;0;0;0;0;0;0;2
2444;6;2;1;0;0;0;0;0;0;0;6;2;17
4452;0;0;0;0;0;0;0;0;0;0;0;0;0
B954;0;0;0;0;0;0;0;0;0;0;0;0;0
B893;0;0;0;0;0;0;0;0;0;0;0;0;0
B278;0;0;0;0;0;0;0;0;0;0;0;0;0
B228;0;0;0;0;0;0;0;0;0;0;0;0;0
0200E;2;0;1;0;0;0;0;0;0;0;0;0;3
0076;0;;0;0;0;0;;0;0;0;0;0;
1082;0;0;0;0;0;0;0;0;0;0;0;0;0
2331;8;3;4;0;0;0;0;0;0;0;4;4;23
3469A;2;0;0;0;0;0;0;0;0;;0;0;
5973;0;;;0;0;0;0;0;0;0;0;;
5960;0;0;0;0;0;0;0;0;0;0;0;0;0
5910;0;0;0;0;0;0;0;0;0;0;0;0;0
1111;0;0;0;0;0;0;0;0;0;0;0;0;0
1109;1;0;0;0;0;0;0;0;0;0;0;0;1
8501;;;;;0;;;;;;;;
8500A;0;0;0;0;0;0;0;0;0;0;0;;
5000C;0;0;;;0;;0;;0;0;0;;
4121;5;0;0;0;0;0;0;0;0;0;0;0;5
5402;0;0;0;0;0;0;0;0;0;0;0;0;0
8096;6;0;0;0;0;0;0;0;0;0;2;0;8
1014;1;0;0;0;0;0;0;0;0;0;0;0;1
1024E;3;0;0;0;0;0;0;0;0;0;0;0;3
0367;0;0;0;0;0;0;0;0;0;0;0;0;0
5530E;1;0;0;0;0;0;0;0;0;0;0;0;1
5514;1;0;0;0;0;0;0;0;0;0;0;0;1
3013;;1;2;0;0;0;0;0;0;0;5;3;
4642E;0;0;0;0;0;0;;;0;0;0;0;
9898;3;0;0;0;0;0;0;0;0;0;0;1;4
5270B;0;0;0;0;0;0;0;0;0;0;0;0;0
9170;3;0;0;0;0;0;0;0;0;0;0;0;3
C249I;0;0;0;0;0;0;0;0;0;0;0;0;0
C649I;0;0;0;0;0;0;0;0;0;0;0;0;0
C029O;0;0;0;0;0;0;0;0;0;0;0;0;0
2661;2;1;0;0;0;0;0;0;0;0;1;3;7
1549;0;0;0;0;0;0;0;0;0;0;0;0;0
9771C;3;0;0;0;0;0;0;0;0;0;0;0;3
1505;;;;;;;;;0;;;;
3191E;4;0;0;0;0;0;0;0;0;0;2;2;8
3129;3;0;0;0;0;0;0;0;0;0;0;0;3
3196;3;0;0;0;0;0;0;0;0;0;0;0;3
3200;3;0;0;0;0;0;0;0;0;0;0;0;3
3195;3;0;0;0;0;0;0;0;0;0;0;0;3
3175;3;0;0;0;0;0;0;0;0;0;0;0;3
2462;15;11;7;3;3;0;0;0;0;0;12;9;60
6155A;;0;0;0;0;0;0;0;0;0;0;0;
6000A;0;0;0;0;0;0;0;0;0;0;0;0;0
7178I;0;0;0;0;0;0;0;0;0;0;0;0;0
7228;0;0;0;0;0;0;0;0;0;0;0;0;0
7031;0;0;0;0;0;0;0;0;0;0;0;0;0
9263D;3;1;0;0;0;0;0;0;0;0;2;0;6
9262;4;;0;0;0;0;0;0;0;0;2;0;
1690A;;;;;;;;;0;0;0;;
1484C;0;0;0;0;0;0;0;0;0;0;0;;
1495;0;0;0;0;0;0;0;0;0;0;0;0;0
2867;2;0;0;0;0;0;0;0;0;0;1;0;3
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;6;3;2;0;0;0;0;0;0;0;2;1;14
C139E;0;0;0;0;0;0;0;0;0;0;0;0;0
C449C;0;0;0;0;0;0;0;0;0;0;0;0;0
C447A;0;0;0;0;0;0;0;0;0;0;0;0;0
C429I;0;0;0;0;0;0;0;0;0;0;0;0;0
2465;6;4;1;0;0;0;0;0;0;0;5;1;17
5796;0;0;0;0;0;0;0;0;0;0;0;0;0
5783;0;0;0;0;0;0;0;0;0;;0;;
2030;7;4;2;0;0;0;0;0;0;0;4;7;24
0016A;0;0;0;0;0;0;0;0;0;0;0;0;0
9981A;0;0;0;0;0;0;0;0;0;0;0;0;0
9381I;9;0;1;;0;0;;;;;6;2;
8368U;6;0;1;0;0;0;0;0;0;0;;;
3260B;;;;;;;;;;0;0;;
8416;0;0;0;0;0;0;0;0;0;0;0;0;0
8414A;0;0;0;0;0;0;0;0;0;0;0;0;0
2422;3;0;0;0;0;0;0;0;0;0;1;0;4
2539;4;0;0;0;0;0;0;0;0;0;2;0;6
2614;2;0;0;0;0;0;0;0;0;0;0;0;2
9390;5;0;0;0;0;0;0;0;0;0;2;0;7
9434;2;0;0;0;0;0;0;0;0;0;0;0;2
