Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387E;21;17;18;13;24;13;17;19;21;17;;19;
1428;12;10;14;11;21;14;13;20;21;13;20;14;183
8175;17;15;15;18;21;19;12;21;22;26;17;21;224
8019;15;22;16;21;19;18;14;21;20;25;22;16;229
6325O;16;17;;24;20;12;12;19;17;25;15;14;
9091O;10;6;15;14;23;19;22;25;20;21;11;19;205
1212E;20;17;14;19;24;13;19;20;18;19;13;9;205
1208H;;;;;;;;;;;9;9;
1249I;13;13;15;14;13;11;15;18;13;;;;
4452;13;15;19;19;21;19;5;10;19;18;15;14;187
B954;21;;17;14;26;19;17;24;21;24;22;23;
B893;24;22;23;20;23;17;13;20;22;23;12;20;239
B278;20;23;19;23;27;19;14;18;26;22;19;22;252
B228;22;19;20;17;24;22;;;20;24;21;19;
0200E;22;17;16;18;25;20;19;25;22;23;15;22;244
0076;22;20;16;19;25;23;18;24;24;20;19;25;255
1082;12;11;15;13;18;16;14;16;19;17;8;11;170
2331;13;13;23;14;23;16;15;24;21;17;14;13;206
5960;16;16;18;27;19;13;5;9;17;20;18;14;192
5910;11;19;16;22;15;17;6;17;18;19;17;16;193
6001;;;;;;;;;;23;14;;
1111;18;15;19;12;21;20;16;22;21;20;10;15;209
1109;17;13;16;12;19;17;13;18;21;18;12;17;193
8500A;;;;;;;;;15;21;13;;
5402;;;;19;;12;6;13;15;;;;
1014;10;9;19;12;20;15;13;13;15;14;11;7;158
1024E;12;10;16;12;19;16;11;15;15;14;11;9;160
0367;20;15;16;17;16;21;19;22;27;20;17;21;231
5530E;13;15;21;23;20;13;6;17;19;20;13;12;192
5514;11;16;21;25;17;12;6;13;18;19;13;14;185
4642E;;;;;;;;;;15;;;
5270B;;;;;;;;;;16;;13;
9170;;;;;;;;;;;16;10;
C249I;21;22;25;28;26;24;14;23;21;26;29;21;280
C649I;24;22;23;29;28;25;18;20;24;21;24;21;279
C029O;18;22;27;30;27;25;15;20;17;21;25;22;269
2661;18;14;18;11;25;15;18;13;20;20;18;16;206
9771C;19;15;13;13;18;14;9;15;18;11;15;14;174
1505;;;;;;;;;18;12;15;;
3191E;16;16;11;15;23;21;12;16;21;13;14;15;193
3129;13;17;13;15;20;20;11;17;21;16;14;18;195
3196;;;18;9;26;23;12;20;23;17;16;17;
3200;16;15;18;15;23;22;11;17;24;16;15;16;208
3195;;;;;;;;;;13;14;;
3175;;18;15;19;21;21;13;15;21;12;;18;
2462;9;13;19;7;18;21;15;17;18;14;8;;
6155A;15;20;17;23;19;15;7;16;17;27;16;15;207
6000A;21;20;12;16;12;14;16;20;13;28;21;17;210
7178I;;;;18;;;12;23;18;26;;;
7228;20;19;17;19;21;18;15;24;23;29;19;15;239
9263D;;10;17;12;22;19;19;23;24;19;12;10;
1690A;;;;;;;;;20;15;21;;
1484C;8;12;15;13;20;16;12;;;;;;
1495;7;8;13;15;20;13;12;11;18;12;21;11;161
2867;;7;17;17;23;18;14;15;21;18;22;17;
2870;;;;;;;;;;13;16;;
C929I;23;20;26;25;27;24;30;16;17;25;26;26;285
C139E;25;19;19;26;23;25;23;22;27;27;23;23;282
C447A;21;;;26;;24;21;17;;22;;;
C429I;18;20;20;28;16;17;9;11;18;19;26;19;221
5796;12;12;18;25;16;13;5;11;17;19;14;14;176
5783;18;14;16;26;19;16;5;11;14;20;13;10;182
2030;;;;;;;;;;15;14;;
0016A;19;17;16;13;24;22;20;22;21;21;18;22;235
9981A;20;18;14;14;23;20;19;20;24;24;19;21;236
9381I;17;21;21;14;27;19;13;21;24;19;21;18;235
8368U;;;;;;;;;;20;21;;
3260B;;;;;;;;;;14;11;;
8414A;17;15;11;16;22;17;14;21;20;22;19;21;215
2422;18;14;22;13;23;21;16;11;24;16;20;21;219
2539;14;;19;10;18;18;12;11;22;17;19;16;
2614;;;;;;;;;;;16;;
9390;17;18;17;11;20;18;16;22;22;18;16;16;211
9434;17;18;20;8;22;17;16;20;24;16;18;13;209
