Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;0;0;3;0;2;0;0;4;0;0;2;11
1387E;0;0;0;2;0;1;0;0;2;0;;1;
1428;0;0;0;4;0;4;0;1;5;0;0;1;15
8175;0;1;0;8;1;8;0;6;4;0;1;0;29
8178D;0;0;0;6;1;4;0;6;4;0;0;0;21
8025;0;0;0;5;0;2;1;0;2;1;4;0;15
8019;0;0;1;4;0;2;0;0;0;0;3;0;10
6325O;0;0;0;0;1;2;0;0;0;0;0;0;3
9091O;0;0;2;1;2;8;0;0;4;0;0;0;17
1212E;0;0;0;1;2;3;0;0;0;0;2;0;8
1208H;2;0;0;1;3;3;0;0;2;1;;4;
1249I;0;0;0;1;2;2;0;0;1;1;1;1;9
2444;0;0;0;2;2;7;1;3;3;0;0;0;18
4452;0;0;0;3;1;3;0;1;3;0;0;0;11
B954;1;0;0;0;0;2;0;0;1;2;1;0;7
B893;3;0;0;1;0;3;1;0;3;2;8;1;22
B278;1;0;1;0;0;2;1;0;2;0;1;0;8
B228;1;0;0;0;0;4;2;1;5;1;3;0;17
0200E;0;0;1;0;2;0;1;2;4;1;1;0;12
0076;0;;0;0;2;1;;0;6;1;2;0;
1082;1;0;0;0;2;6;0;1;1;0;2;1;14
2331;0;0;0;1;7;8;0;1;5;0;1;0;23
3469A;1;0;0;4;0;4;0;1;4;;0;0;
5973;0;;;0;0;0;0;0;1;0;2;;
5960;0;0;0;1;0;0;0;0;4;0;0;1;6
5910;0;1;0;0;1;0;0;0;0;0;1;1;4
1111;1;0;0;0;0;3;0;0;1;0;1;3;9
1109;2;0;0;0;2;3;0;1;2;0;1;4;15
8501;;;;;0;3;2;3;3;;;;
8500A;0;1;0;3;3;6;3;8;8;0;2;;
5000C;0;0;;;1;;0;;1;0;0;;
4121;0;0;0;4;1;3;0;3;4;0;0;0;15
5402;0;1;1;6;0;2;0;0;2;0;0;0;12
8096;1;0;0;3;0;1;2;6;2;0;1;0;16
1014;0;0;0;0;3;6;0;1;4;0;3;4;21
1024E;0;0;1;0;2;4;0;0;4;0;2;2;15
0367;0;0;0;3;3;4;2;4;5;0;4;1;26
5530E;0;0;0;3;0;3;0;1;1;0;0;0;8
5514;0;1;0;0;0;3;0;0;0;0;0;0;4
3013;;0;0;3;5;12;2;8;5;0;0;0;
4642E;0;1;0;1;0;0;;;3;0;1;2;
9898;0;0;0;0;1;6;2;4;2;0;1;0;16
5270B;0;0;1;5;1;6;0;2;3;0;1;0;19
9170;0;0;0;1;2;5;1;0;7;0;0;0;16
C249I;0;0;0;0;0;0;0;0;0;0;0;0;0
C649I;0;0;0;0;0;0;0;0;0;0;0;0;0
C029O;1;0;0;0;0;0;0;0;0;0;0;0;1
2661;0;0;1;2;1;8;1;1;4;0;0;0;18
1549;1;0;0;3;2;9;0;3;1;0;0;0;19
9771C;1;1;0;0;2;3;4;2;2;0;1;0;16
1505;;;;;;;;;1;;;;
3191E;1;1;0;3;4;4;1;3;4;0;0;0;21
3129;1;0;0;1;2;5;1;2;4;0;0;0;16
3196;0;1;1;4;1;1;1;3;3;0;0;0;15
3200;0;1;0;2;2;5;1;3;3;0;0;0;17
3195;0;1;0;2;2;4;1;1;3;0;0;0;14
3175;1;1;0;6;2;8;2;2;5;0;0;0;27
2462;1;0;0;1;2;4;1;2;3;0;1;0;15
6155A;;0;1;1;2;1;0;1;0;0;0;0;
6000A;0;1;3;0;0;0;0;0;3;0;2;0;9
7178I;0;0;0;5;2;5;1;0;3;1;2;0;19
7228;0;0;1;2;0;1;1;1;1;1;1;0;9
7031;0;0;0;0;0;2;0;0;1;1;3;0;7
9263D;2;0;0;1;2;7;1;0;6;1;1;1;22
9262;0;;0;0;2;6;1;0;3;0;0;0;
1690A;;;;;;;;;4;1;0;;
1484C;1;0;0;2;0;0;0;1;3;0;0;;
1495;0;3;1;3;0;3;0;1;4;0;0;0;15
2867;1;1;1;2;1;5;1;2;1;0;0;0;15
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;0;0;0;0;0;0;0;0;0;0;1;0;1
C139E;0;0;0;0;0;0;0;0;0;0;2;0;2
C449C;0;0;0;0;0;0;0;0;0;0;1;0;1
C447A;0;1;0;0;0;0;0;0;0;0;1;0;2
C429I;2;0;0;0;0;0;0;0;0;0;0;0;2
2465;1;1;0;5;3;10;0;3;7;0;1;0;31
5796;0;0;1;2;1;1;0;0;2;0;0;1;8
5783;0;0;0;2;0;0;0;0;1;;1;;
2030;0;0;0;2;4;3;0;2;1;0;0;1;13
0016A;1;0;0;0;0;4;2;4;6;0;3;0;20
9981A;1;0;0;0;3;3;4;4;8;1;1;0;25
9381I;0;0;1;;5;13;;;;;0;0;
8368U;0;1;0;3;4;14;3;9;7;0;;;
3260B;;;;;;;;;;0;0;;
8416;1;0;0;0;1;6;1;4;5;0;0;0;18
8414A;1;2;0;2;1;5;1;6;5;0;0;0;23
2422;1;0;0;3;5;8;0;1;3;0;0;0;21
2539;0;0;0;3;2;7;0;0;3;0;0;0;15
2614;0;1;0;4;1;9;1;3;4;0;0;0;23
9390;1;1;0;3;5;8;4;5;4;0;0;0;31
9434;1;1;0;0;3;9;3;4;4;0;0;0;25
