Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;20.8(24);40.0(11);8.6(11);24.6(25);22.6(14);45.4(17);7.8(23);12.2(03);22.8(06);28.8(02);21.2(02);19.0(07);45.4(17/jun)
1387E;18.1(21);38.1(11);8.2(11);24.9(25);14.4(10);33.0(17);6.6(23);6.3(03);35.4(13);32.0(02);21.2(28);26.3(07);38.1(11/feb)
1428;66.0(21);56.6(02);7.1(11);24.1(23);23.0(15);27.0(17);6.7(03);7.9(01);20.4(24);50.2(02);10.7(02);36.8(07);66.0(21/ene)
8175;22.4(08);10.2(21);7.0(07);12.6(21);21.8(23);41.0(16);0.0(--);43.6(24);10.8(15);39.0(30);16.0(22);4.8(01);43.6(24/ago)
8178D;22.8(08);11.3(21);6.8(07);16.4(22);18.8(23);38.6(16);0.5(06);36.5(24);16.2(01);32.1(30);16.0(22);4.0(01);38.6(16/jun)
8025;11.4(08);5.8(14);24.0(07);9.4(15);53.8(23);6.4(05);26.4(26);1.0(17);1.4(01);12.6(22);32.2(22);0.6(24);53.8(23/may)
8019;14.3(08);1.7(14);39.5(18);14.9(26);61.6(23);7.5(05);23.2(26);0.2(10);8.2(20);17.4(22);68.2(22);0.7(22);68.2(22/nov)
6325O;27.0(07);1.4(21);43.5(07);7.5(15);17.1(23);4.2(04);0.0(--);0.0(--);0.2(14);14.2(26);4.3(17);0.0(--);43.5(07/mar)
9091O;26.5(01);12.6(21);11.5(19);17.5(26);54.5(28);15.3(18);1.2(12);5.7(03);15.4(02);12.3(29);61.6(28);43.9(09);61.6(28/nov)
1212E;41.6(03);41.7(05);5.0(13);13.3(10);23.7(15);51.4(17);9.3(30);27.7(03);43.8(15);27.7(02);35.7(22);38.2(08);51.4(17/jun)
1208H;34.3(03);33.2(05);5.2(13);14.8(10);8.9(15);64.5(17);5.8(30);14.1(03);11.2(15);23.5(02);40.3(03);27.8(01);64.5(17/jun)
1249I;28.0(24);39.3(05);10.0(19);34.5(10);11.4(13);46.4(16);5.7(30);7.6(03);17.0(17);19.4(02);58.1(24);32.1(01);58.1(24/nov)
2444;12.6(08);13.8(21);1.4(07);10.8(21);7.0(31);18.0(15);6.4(25);5.8(31);31.6(23);17.8(29);7.0(24);13.4(26);31.6(23/sep)
4452;12.6(19);29.8(04);3.0(05);21.8(14);15.4(10);33.4(12);0.0(--);0.0(--);28.9(14);30.2(30);2.6(25);11.6(20);33.4(12/jun)
B954;23.2(10);1.3(08);29.3(19);13.7(22);41.6(23);7.0(05);16.5(26);0.3(23);21.5(20);77.8(22);24.9(23);0.5(08);77.8(22/oct)
B893;17.3(01);2.4(22);28.7(07);8.6(17);20.0(23);5.6(05);4.9(31);0.5(30);74.8(21);9.2(09);44.5(09);10.2(02);74.8(21/sep)
B278;7.9(07);1.4(08);12.3(07);3.8(17);40.2(23);8.4(05);0.3(31);19.7(30);10.0(15);6.0(29);40.4(23);3.7(02);40.4(23/nov)
B228;11.8(01);1.9(22);17.3(08);4.8(09);32.2(23);8.8(01);0.6(31);25.5(30);11.2(15);15.6(01);38.2(22);4.8(08);38.2(22/nov)
0200E;10.4(09);10.6(22);3.9(18);19.5(20);5.8(01);3.5(05);9.0(31);3.5(23);5.0(29);23.1(29);31.6(23);2.1(01);31.6(23/nov)
0076;14.4(09);;8.3(18);22.2(30);5.1(10);2.4(23);;6.3(30);11.8(20);20.7(03);50.6(24);0.5(01);
1082;28.0(04);29.1(06);18.2(19);16.3(10);23.6(31);37.2(22);7.1(07);16.3(03);18.7(20);21.9(02);50.3(28);42.0(01);50.3(28/nov)
2331;12.2(25);25.4(21);7.4(08);13.4(20);6.2(02);9.4(03);0.8(06);6.4(31);12.2(13);16.6(29);11.2(23);6.8(07);25.4(21/feb)
3469A;12.0(19);35.4(04);0.0(--);35.0(14);4.6(09);10.4(12);0.0(--);1.0(24);28.2(23);56.4(30);0.6(20);6.8(25);56.4(30/oct)
5973;45.0(20);13.2(25);8.3(06);3.3(21);2.4(10);12.2(18);0.0(--);1.0(24);9.8(13);5.0(29);5.6(20);73.0(23);73.0(23/dic)
5960;44.4(20);15.6(21);8.5(05);6.5(15);5.5(27);6.5(18);0.1(01);0.0(--);17.3(14);6.6(03);13.1(20);50.1(23);50.1(23/dic)
5910;40.6(08);19.0(07);3.8(05);2.4(15);5.4(10);10.0(17);0.0(--);0.8(24);22.4(13);8.3(03);7.2(20);44.7(23);44.7(23/dic)
6001;;30.5(08);99.9(06);11.1(26);5.7(27);1.0(20);0.0(--);0.2(21);7.0(13);;;28.0(24);
1111;43.3(03);25.9(05);7.7(19);13.9(10);26.7(15);25.5(22);28.5(07);23.0(03);22.3(20);26.9(21);43.6(28);39.7(08);43.6(28/nov)
1109;41.6(04);26.2(05);15.1(19);22.4(10);18.0(15);41.8(22);27.7(07);21.8(03);17.7(19);20.0(02);47.3(28);65.1(08);65.1(08/dic)
8501;;;;;15.0(23);17.8(17);9.7(31);51.0(29);41.0(01);6.2(29);27.2(22);1.0(24);
8500A;22.0(09);5.6(21);16.4(07);26.8(22);13.4(23);15.4(17);5.8(31);12.2(29);50.4(01);4.8(03);22.6(22);0.2(05);50.4(01/sep)
5000C;94.4(06);26.2(08);134.2(05);11.0(26);8.8(27);1.2(04);0.0(--);1.0(24);4.6(13);1.8(03);50.3(20);30.2(24);134.2(05/mar)
4121;26.6(08);7.6(09);5.6(07);13.8(14);5.0(09);13.0(16);0.0(--);18.2(24);23.0(14);43.2(30);5.2(20);7.0(23);43.2(30/oct)
5402;21.1(08);12.7(09);7.1(06);11.9(26);3.8(10);5.4(05);0.0(--);0.0(--);13.6(13);14.7(30);6.2(01);39.0(23);39.0(23/dic)
8096;12.6(21);14.8(09);3.8(08);14.2(11);31.6(23);11.4(05);5.8(25);12.0(24);46.0(14);51.2(29);38.2(22);12.2(26);51.2(29/oct)
1014;26.8(24);32.6(06);6.8(19);13.7(10);33.9(10);41.8(22);14.5(31);11.6(03);75.2(15);39.2(03);66.8(04);97.8(09);97.8(09/dic)
1024E;26.7(01);33.5(21);12.2(18);23.5(10);18.3(13);38.7(22);31.6(12);15.6(03);84.2(15);24.8(31);51.4(25);64.9(09);84.2(15/sep)
0367;16.8(09);9.7(06);3.5(05);23.4(11);24.4(11);1.4(07);9.1(31);14.1(04);56.4(03);15.0(03);31.8(23);1.4(02);56.4(03/sep)
5530E;17.2(07);16.3(21);5.8(08);13.6(27);9.1(08);4.9(16);0.0(--);0.1(24);3.9(14);3.2(30);14.5(01);6.7(24);17.2(07/ene)
5514;12.7(07);7.3(21);8.7(08);8.9(15);15.2(27);9.9(16);0.0(--);0.2(24);3.1(14);4.0(30);16.6(01);11.7(24);16.6(01/nov)
3013;17.4(08);16.8(09);2.8(19);16.0(24);7.2(01);20.8(11);8.4(25);10.8(31);32.2(01);16.2(29);26.2(22);5.0(26);32.2(01/sep)
4642E;7.4(08);17.0(05);11.8(04);7.4(26);9.4(09);0.0(--);0.0(--);0.0(--);15.4(14);4.2(29);18.4(20);25.8(24);25.8(24/dic)
9898;38.0(09);11.8(09);0.6(01);7.2(11);7.8(09);17.8(01);10.4(20);5.8(24);17.2(01);26.6(29);41.4(23);14.4(09);41.4(23/nov)
5270B;23.2(07);12.0(09);9.2(07);12.4(27);6.0(08);10.8(05);0.0(--);0.0(--);5.8(13);9.2(03);16.6(01);7.0(23);23.2(07/ene)
9170;13.6(25);14.8(21);4.1(19);6.1(10);9.5(13);42.4(16);3.5(06);14.9(31);10.0(17);11.2(03);23.6(23);11.9(05);42.4(16/jun)
C249I;2.5(07);2.8(04);0.2(29);0.0(--);0.1(09);0.0(--);0.0(--);0.0(--);0.0(--);0.2(25);0.7(27);0.3(08);2.8(04/feb)
C649I;21.4(07);2.5(04);2.9(01);0.7(29);0.0(--);0.0(--);0.1(07);0.1(03);0.3(15);0.4(22);2.6(27);0.9(08);21.4(07/ene)
C029O;33.3(07);13.2(05);1.2(06);0.7(26);0.0(--);0.1(21);0.0(--);0.0(--);0.0(--);0.0(--);5.4(26);0.2(26);33.3(07/ene)
2661;14.7(21);18.9(05);13.3(01);7.8(10);5.0(09);17.4(01);9.7(25);2.7(31);15.4(13);9.7(02);3.7(27);16.9(07);18.9(05/feb)
1549;16.0(21);23.8(09);8.4(01);5.2(21);9.4(13);8.8(13);0.0(--);7.6(31);11.2(13);18.8(02);5.8(27);25.4(07);25.4(07/dic)
