Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;39;42;64;56;58;58;;;;;;;
1428;33;35;59;50;53;51;44;59;50;46;59;38;48
8175;49;55;59;48;69;68;84;72;65;;59;54;
8178D;;;;;;;87;;;;;;
8025;68;68;67;54;76;75;85;76;75;70;64;61;70
8019;67;65;65;54;75;75;85;74;71;67;63;59;68
6325O;66;70;58;57;70;75;81;72;73;72;77;62;69
9091O;27;37;43;41;48;46;51;56;41;51;25;33;42
1212E;43;32;;;49;30;35;43;38;58;33;40;
1249I;42;36;46;43;42;27;32;41;36;58;40;47;41
2444;48;49;63;46;61;70;82;82;60;69;44;44;60
4452;35;45;75;55;80;77;90;88;69;72;59;45;66
B954;60;59;52;46;68;65;76;68;60;54;33;54;58
B893;51;52;62;57;67;73;79;74;54;62;28;49;59
B278;50;54;58;51;64;65;80;66;54;56;30;49;56
B228;52;52;56;52;65;66;80;69;60;57;33;53;58
0200E;59;50;52;45;60;64;73;62;47;57;53;71;58
0076;36;38;;;56;59;67;53;;54;34;40;
1082;15;22;38;37;38;30;34;43;45;53;22;40;35
2331;28;35;56;45;53;61;74;80;50;60;33;40;51
3469A;53;50;74;56;77;77;90;91;70;74;73;52;70
5960;;;;;;;88;;;76;69;;
5910;;53;67;63;79;81;87;84;77;74;71;62;
1111;32;32;48;46;49;42;45;51;46;59;29;41;43
1109;31;29;42;43;44;37;41;47;41;53;27;35;39
8500A;67;54;67;48;64;70;81;64;66;66;60;66;64
5000C;52;38;54;47;63;67;70;68;64;60;57;41;57
4121;51;57;71;53;76;73;88;86;71;75;66;51;68
5402;47;52;80;63;84;87;92;92;83;85;77;;
8096;46;49;61;39;55;53;65;69;59;63;55;43;55
1014;17;26;41;47;48;36;37;50;39;54;21;32;37
1024E;22;30;44;50;51;33;35;49;41;54;23;42;40
0367;58;53;58;44;51;63;68;63;57;63;46;69;58
5530E;54;62;76;57;76;82;90;82;77;80;67;62;72
5514;50;55;62;49;74;79;85;76;74;75;62;61;67
3013;;56;60;49;59;61;80;75;56;65;41;37;
4642E;58;50;77;66;83;83;91;;82;81;78;63;
9898;53;53;;56;66;64;80;;61;68;65;37;
5270B;51;60;70;49;;76;90;82;;78;62;57;
9170;;41;55;46;57;62;69;82;54;62;41;26;
C249I;56;63;;;;62;72;76;69;;62;;
C649I;63;;;;;69;;85;80;;64;71;
C029O;64;72;;72;71;;;82;;77;61;63;
2661;59;41;74;53;68;71;83;88;56;66;68;42;64
1549;39;27;64;51;58;59;74;80;58;58;51;33;54
9771C;51;50;74;57;75;;82;81;68;75;;37;
1505;22;34;52;47;;45;47;58;43;;41;29;
3191E;52;42;;41;62;70;83;79;56;67;66;51;
3129;50;44;61;43;63;65;84;83;;69;63;55;
3196;49;51;57;48;69;67;82;81;61;69;67;58;63
3200;48;56;61;49;68;69;82;84;62;72;69;61;65
3175;54;50;57;48;;70;86;85;60;70;72;49;
2462;33;39;59;36;51;65;79;77;50;65;34;33;52
6155A;58;50;62;47;69;74;80;70;72;74;69;52;65
6000A;63;56;50;50;56;62;68;65;63;71;61;61;61
7178I;;;61;50;75;75;85;74;71;;64;56;
7228;65;57;50;43;70;72;78;69;61;66;68;56;63
7031;69;55;49;49;71;69;80;71;63;68;67;59;64
9263D;28;33;48;46;48;;60;71;47;59;33;19;
1690A;28;29;55;48;;58;59;69;;47;;32;
1484C;42;31;61;55;59;60;51;;;;;;
1495;;;;55;59;67;56;72;57;55;68;40;
2867;54;49;72;59;68;72;85;87;62;71;57;44;65
C929I;52;71;63;64;65;;49;76;69;68;57;53;
C430E;70;82;87;87;93;90;93;96;92;91;70;85;86
C139E;37;54;51;48;51;45;62;64;43;53;;;
C449C;;74;73;71;73;70;86;87;;79;53;58;
C447A;38;;43;49;45;38;53;66;59;;29;43;
C429I;69;73;76;69;76;70;85;78;76;78;65;76;74
2465;44;46;64;48;59;67;81;85;60;68;41;44;59
5796;56;49;61;57;77;78;85;85;70;77;73;64;69
5783;;49;72;58;80;79;88;88;75;80;74;64;
2030;47;44;61;46;53;62;71;77;61;67;62;47;58
0016A;64;44;;46;57;60;68;54;51;56;61;71;
9981A;59;40;64;45;59;56;68;59;55;66;59;65;58
9381I;50;61;62;52;62;64;81;75;60;66;49;51;61
8368U;51;60;61;47;62;63;80;71;59;65;48;55;60
3260B;60;61;73;57;76;71;86;88;70;;69;;
8416;65;48;58;40;63;62;76;63;63;65;59;64;61
8414A;67;49;60;42;64;64;78;64;65;66;61;66;62
2422;40;44;70;49;60;59;73;82;61;67;57;41;59
2539;39;42;64;47;64;70;84;86;55;63;66;46;61
2614;36;40;70;53;68;;84;84;61;64;49;33;
9390;43;53;57;45;61;61;76;76;57;62;46;42;57
9434;;53;;;66;;;;;71;65;26;
