Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;10186;10148;10243;10160;10185;10194;10188;10184;10185;10187;10218;10194;10189
1387E;10183;10145;10238;10154;10182;10189;10184;10180;10181;10184;10214;10191;10185
1428;10190;10152;;;10182;10182;10182;10175;10181;10188;10214;10199;
8175;;10191;10219;10146;;10141;10119;10123;;;10175;10221;
8178D;10211;10206;10234;10163;10167;10159;10136;10142;10177;10200;10190;10238;10185
8025;10166;10186;10214;10152;10164;10161;10143;10145;10165;10188;10153;10204;10170
8019;10167;10187;10215;10153;10165;10160;10143;10144;;10186;10153;10204;
6325O;;10183;10203;10142;10161;10153;10138;10138;10158;10184;10156;10206;
9091O;10186;10174;10251;10174;10174;10177;10169;10176;10181;10204;10202;10213;10190
1212E;10175;10149;10246;;10178;10191;10184;10186;10183;10189;;10188;
1208H;10172;10147;10244;10168;10177;10189;10182;10185;10181;10187;10208;10185;10185
1249I;10177;10149;10242;10165;10175;10186;10179;10181;10180;10190;10213;10192;10186
2444;10198;10176;10225;10140;10151;10137;10128;10124;10163;10185;10198;10216;10170
4452;10199;10183;10208;10136;10165;10152;10145;10138;10160;10180;10184;10219;10172
B954;10157;10186;10216;10154;10166;10162;10144;10146;10164;10187;10142;10196;10168
B893;10144;10190;10216;10157;10169;10164;10147;10151;10168;10187;10129;10186;10167
B278;10149;10189;;10156;10166;10161;10144;10148;10165;10187;10134;10189;
B228;10146;10188;10218;10156;10168;10163;10146;10150;10167;10188;10135;10190;10168
0200E;10133;10172;10208;10151;10149;10150;10132;10140;10160;10175;10134;10169;10156
0076;10143;10184;;10162;10162;10165;10146;;;;10142;10179;
1082;10175;10162;10247;10173;10178;10185;10181;10186;10182;10195;10199;10188;10188
2331;10194;10175;10239;10157;10158;10154;10140;10143;10169;10194;10200;10214;10178
3469A;10196;10182;10212;10136;10159;10145;10136;10131;10159;10181;10184;10217;10170
5973;10205;10198;10203;10152;;10171;;10152;10167;10186;10180;10225;
5960;10200;10192;10197;10143;10166;10162;10148;10143;10161;10181;10176;10222;10174
6001;;10174;10178;10128;10148;10146;10133;10127;10144;10162;;10204;
1111;10174;10157;10249;10176;10182;10191;10186;10191;10185;10196;10204;10187;10190
1109;10172;10154;10246;10167;10178;10186;10182;10187;10182;10192;10201;10183;10186
8500A;10153;10183;10223;10159;10163;10163;10145;10150;10164;10180;10144;10186;10168
5000C;10193;10196;10202;;10170;10166;10153;10147;10166;10188;10172;10221;
4121;10197;10187;10211;10137;10150;10134;10122;10121;10157;10182;10181;10227;10167
5402;10198;10192;10202;10140;10159;10150;;10131;10157;10180;10177;10224;
8096;10178;10177;10206;10134;10139;10132;10112;10113;10154;10175;10164;10210;10158
1014;10168;10157;10242;10168;10174;10179;10175;10180;10177;10191;10189;10182;10182
1024E;10171;10159;10244;10171;10176;10182;10178;10183;10181;10193;10192;10184;10185
0367;10134;;10213;;10152;10153;10133;10143;;10179;10138;10171;
5530E;10199;10193;10199;10136;10151;10137;10122;10121;10151;10180;10178;10230;10166
5514;10199;10194;10199;10137;10152;10138;10121;10119;10149;10179;10176;10229;10166
3013;;10183;10225;10144;10149;10144;10126;10130;10171;10196;10188;10223;
4642E;10198;10188;10199;10142;10169;10163;10150;10146;10161;10182;10178;10220;10175
9898;10162;10181;10219;10150;10150;10151;10129;10137;10168;10188;10160;10204;10167
5270B;10195;10189;10202;10137;;10144;10128;;10155;10180;10179;10223;
9170;10178;10176;10241;10167;10162;;;10154;10176;10197;10192;10214;
C249I;10210;10200;;;10170;10182;10154;10162;10168;;10177;;
C649I;10212;10204;;10163;;10187;10159;10166;10171;10179;10181;10203;
C029O;10211;10201;;10158;10169;10183;10154;10162;10168;10176;10179;10206;
2661;10185;10166;10226;10141;10148;10147;10137;10135;10165;10184;10197;10206;10170
1549;10198;10167;10230;10142;10164;10160;10155;10151;10172;10193;10211;10215;10180
9771C;10162;10184;10221;10156;10155;10158;10136;10145;10170;10190;10160;10204;10170
1505;10191;10153;10240;10156;10176;10183;;10175;10180;10192;10217;10203;
3191E;10182;10176;10212;10135;10141;10129;10111;10109;10154;10174;10170;10208;10158
3129;10196;10184;10221;10141;10147;10137;10122;10120;10163;10186;10181;10222;10168
3196;10191;10181;10216;10139;10146;10136;10120;10117;10160;;10178;10218;
3200;10194;10181;10216;;10147;10137;;10118;10159;10182;10177;10218;
3195;;;;;;;10118;;10154;10175;10170;10209;
3175;10198;10185;10222;10143;10150;;10125;10121;10162;10185;10180;10219;
2462;10192;10183;10225;10141;;10140;10123;10118;10166;10185;10194;10217;
6155A;10187;10193;10203;10147;10167;10159;10144;10141;10162;10188;10167;10220;10173
6000A;10190;10193;10201;10148;10167;10162;10147;10143;10162;10186;10167;10217;10174
7178I;;10187;10214;10149;10160;10156;10136;10138;10161;10185;10158;10208;
7228;10175;10190;10217;10152;10162;10158;10138;10141;10163;10189;10162;10212;10172
9263D;10175;10174;10241;10165;10165;10164;10153;10159;10176;10195;10187;10212;10181
1690A;10186;10150;10221;10136;10167;10163;10163;10155;;10180;10202;10198;
1484C;10183;10147;10221;10136;10176;10170;10173;10165;10170;10179;10199;10193;10176
1495;10193;10157;;10142;10183;10175;10179;10169;10176;10188;;10204;
2867;10202;10174;10227;10138;10156;10142;10136;10133;10163;10190;10203;10221;10174
2870;10216;10182;10231;10145;10161;;10132;10125;10160;10190;10210;10233;
