Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;10255(13);10241(25);10234(14);10179(11);10217(25);10189(04);10196(08);10202(16);10226(29);10188(06);10257(06);10205(05);10257(06/nov)
1387E;10208(13);10192(25);10186(14);10130(11);10170(25);10141(04);10148(08);10155(16);10178(29);10142(06);10208(06);10159(05);10208(13/ene)
1428;9888(13);9867(25);;;9851(25);9828(04);9834(08);9836(16);9870(29);9831(06);9884(06);9847(05);
8175;;9524(23);9473(28);9424(12);;9425(12);9425(08);9420(13);;;9456(18);9474(31);
8178D;9517(17);9561(23);9513(28);9464(12);9468(20);9465(12);9465(09);9462(13);9490(29);9502(19);9497(19);9515(31);9561(23/feb)
8025;10191(13);10265(15);10195(28);10161(07);10156(20);10143(05);10130(08);10115(13);10156(30);10182(19);10184(19);10198(17);10265(15/feb)
8019;10254(13);10326(15);10258(28);10224(08);10216(20);10202(05);10188(08);10171(13);;10241(19);10242(19);10259(17);
6325O;;10323(15);10254(03);10219(12);10212(20);10204(04);10182(08);10180(13);10216(29);10235(19);10242(30);10263(31);
9091O;9725(12);9733(23);9733(01);9679(12);9687(25);9678(04);9667(08);9686(16);9698(30);9679(06);9705(06);9695(18);9733(23/feb)
1212E;10173(13);10176(26);10175(16);;10139(25);10120(04);10117(08);10128(16);10152(29);10119(06);;10128(14);
1208H;10326(13);10327(26);10326(16);10274(11);10287(25);10268(04);10260(08);10272(16);10298(29);10265(06);10328(06);10278(16);10328(06/nov)
1249I;9924(13);9919(26);9919(16);9868(11);9889(25);9870(04);9863(08);9881(16);9901(29);9869(06);9927(06);9871(16);9927(06/nov)
2444;9008(17);9024(23);8992(03);8950(12);8965(19);8960(13);8966(08);8972(13);8997(29);8983(19);8989(06);9001(31);9024(23/feb)
4452;10095(13);10086(23);10057(11);9992(12);10015(24);9993(04);9988(08);9969(13);10030(29);10013(05);10059(30);10064(06);10095(13/ene)
B954;10268(18);10346(15);10280(28);10246(08);10233(20);10213(05);10207(08);10188(13);10261(08);10260(19);10266(19);10280(17);10346(15/feb)
B893;10178(18);10273(15);10215(29);10167(08);10161(25);10126(05);10135(08);10106(13);10155(29);10186(19);10191(19);10197(17);10273(15/feb)
B278;10284(18);10370(15);;10268(08);10247(20);10223(05);10228(08);10198(13);10252(29);10277(19);10287(19);10297(17);
B228;10282(18);10368(15);10305(29);10265(08);10249(20);10222(05);10229(08);10197(13);10252(30);10278(19);10287(19);10298(17);10368(15/feb)
0200E;9778(18);9865(23);9834(29);9761(07);9769(25);9747(05);9790(11);9745(13);9779(29);9785(19);9799(19);9810(17);9865(23/feb)
0076;10279(18);10366(14);;10263(07);10261(25);10230(05);10236(08);;;;10297(19);10312(17);
1082;10284(13);10291(26);10287(16);10254(12);10250(27);10239(04);10226(08);10226(17);10263(29);10235(06);10288(06);10250(16);10291(26/feb)
2331;9279(13);9291(23);9271(16);9233(12);9245(25);9235(04);9233(08);9239(16);9269(29);9248(06);9266(06);9261(31);9291(23/feb)
3469A;9848(13);9857(23);9815(03);9766(12);9774(24);9761(06);9762(08);9746(13);9798(29);9786(19);9817(06);9818(06);9857(23/feb)
5973;10311(13);10305(23);10280(11);10210(12);;10222(05);;10185(13);10221(29);10220(20);10277(30);10292(06);
