Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;10104;10067;10161;10079;10105;10114;10109;10106;10106;10108;10137;10113;10109
1387E;10058;10021;10113;10031;10058;10067;10063;10059;10060;10062;10089;10067;10062
1428;9748;9717;;;9750;9756;9757;9753;9755;9758;9774;9762;
8175;;9370;9396;9337;;9362;9353;9356;;;9350;9395;
8178D;9400;9413;9440;9381;9402;9405;9396;9399;9418;9427;9394;9439;9410
8025;10067;10088;10116;10055;10069;10066;10050;10052;10071;10092;10055;10105;10074
8019;10129;10149;10178;10116;10129;10124;10108;10109;;10150;10116;10167;
6325O;;10158;10178;10117;10136;10129;10114;10114;10134;10159;10130;10181;
9091O;9570;9569;9639;9570;9578;9590;9586;9592;9594;9604;9590;9599;9590
1212E;10017;9993;10088;;10023;10037;10031;10033;10030;10034;;10031;
1208H;10165;10140;10236;10161;10170;10182;10175;10178;10174;10180;10200;10177;10178
1249I;9769;9747;9836;9764;9775;9791;9787;9790;9787;9792;9806;9787;9786
2444;8883;8887;8930;8867;8898;8905;8908;8909;8918;8921;8894;8920;8903
4452;9965;9953;9979;9911;9943;9932;9928;9922;9939;9956;9954;9988;9948
B954;10136;10166;10195;10134;10146;10142;10124;10127;10145;10167;10122;10175;10148
B893;10040;10086;10113;10054;10068;10065;10049;10053;10069;10085;10026;10082;10066
B278;10143;10183;;10150;10160;10156;10138;10142;10159;10181;10128;10183;
B228;10142;10181;10210;10149;10161;10156;10139;10143;10160;10181;10128;10183;10161
0200E;9645;9689;9724;9672;9678;9689;9674;9682;9697;9703;9653;9686;9683
0076;10137;10177;;10156;10156;10159;10140;;;;10136;10173;
1082;10127;10115;10200;10126;10132;10139;10135;10140;10136;10149;10152;10141;10141
2331;9142;9144;9201;9134;9152;9163;9161;9164;9174;9178;9158;9174;9162
3469A;9725;9719;9750;9682;9711;9704;9700;9696;9715;9729;9718;9752;9717
5973;10194;10187;10193;10141;;10160;;10142;10157;10175;10170;10214;
5960;10165;10158;10164;10110;10134;10130;10116;10111;10128;10148;10143;10188;10141
6001;;10144;10148;10099;10119;10117;10104;10098;10115;10133;;10174;
1111;10102;10086;10177;10104;10112;10121;10117;10122;10116;10125;10132;10115;10119
1109;10171;10152;10244;10169;10177;10186;10181;10186;10180;10191;10200;10182;10185
8500A;10099;10130;10170;10107;10112;10113;10095;10099;10113;10128;10092;10133;10116
5000C;10087;10090;10097;;10067;10064;10052;10047;10065;10085;10067;10116;
4121;9448;9453;9477;9416;9441;9439;9435;9434;9453;9466;9442;9485;9449
5402;10086;10081;10092;10031;10053;10045;;10028;10051;10073;10066;10112;
8096;9072;9091;9120;9062;9088;9097;9092;9095;9111;9113;9073;9116;9094
1014;10163;10152;10237;10163;10169;10174;10170;10175;10172;10186;10184;10177;10177
1024E;9857;9851;9932;9862;9870;9880;9877;9882;9880;9888;9880;9874;9878
0367;9977;;10056;;10000;10005;9986;9996;;10026;9983;10014;
5530E;9521;9525;9534;9482;9508;9505;9499;9498;9515;9530;9507;9556;9515
5514;9383;9389;9397;9349;9376;9374;9370;9367;9382;9396;9368;9417;9381
3013;;8966;9003;8943;8968;8980;8975;8980;8995;8995;8957;8992;
4642E;10174;10164;10175;10118;10146;10139;10127;10123;10138;10159;10154;10196;10151
9898;9497;9528;9566;9507;9518;9531;9515;9522;9542;9547;9505;9541;9527
5270B;9509;9513;9529;9474;;9499;9493;;9508;9521;9499;9544;
9170;9739;9743;9807;9736;9741;;;9744;9759;9770;9757;9775;
C249I;10174;10164;;;10135;10147;10119;10127;10133;;10142;;
C649I;10156;10148;;10108;;10132;10105;10112;10117;10125;10126;10147;
C029O;10186;10176;;10134;10145;10159;10130;10138;10144;10152;10154;10181;
2661;9110;9108;9169;9102;9120;9134;9133;9135;9145;9147;9133;9145;9132
1549;9536;9518;9582;9506;9532;9537;9537;9535;9546;9555;9556;9561;9542
9771C;9918;9944;9982;9920;9924;9931;9912;9920;9942;9956;9920;9960;9936
1505;9653;9625;9707;9632;9656;9667;;9664;9666;9670;9682;9671;
3191E;9018;9031;9068;9006;9031;9038;9035;9037;9052;9056;9023;9058;9038
3129;9495;9500;9536;9469;9488;9489;9481;9481;9506;9516;9493;9531;9499
3196;9374;9381;9417;9351;9373;9375;9369;9369;9391;;9374;9412;
3200;9455;9460;9496;;9450;9451;;9444;9467;9477;9454;9491;
3195;;;;;;;9387;;9407;9415;9389;9426;
3175;9459;9466;9502;9435;9455;;9449;9449;9473;9483;9458;9494;
2462;8085;8103;8141;8090;;8147;8157;8163;8157;8152;8099;8133;
6155A;10179;10185;10194;10138;10159;10151;10136;10133;10154;10180;10159;10211;10165
6000A;10124;10128;10135;10083;10102;10098;10084;10080;10099;10122;10102;10151;10109
7178I;;10113;10140;10076;10088;10085;10066;10068;10090;10113;10083;10133;
7228;10084;10101;10127;10063;10075;10072;10054;10056;10077;10101;10072;10122;10084
9263D;9629;9638;9700;9632;9640;9648;9641;9646;9658;9665;9646;9665;9651
1690A;10007;9974;10044;9962;9994;9993;9993;9986;;10007;10024;10021;
1484C;10051;10018;10091;10008;10048;10044;10047;10039;10043;10052;10068;10063;10048
1495;9880;9849;;9838;9879;9876;9880;9871;9876;9885;;9895;
2867;9257;9251;9299;9231;9259;9260;9262;9261;9274;9283;9268;9289;9266
2870;9297;9283;9331;9261;9286;;9280;9277;9293;9308;9302;9325;
C929I;10177;10171;;10132;10154;;10139;10140;;10149;10145;10164;
C430E;7698;7686;7674;7670;7702;7721;7742;7736;7727;7722;7683;7697;7705
C139E;10162;10156;10137;10117;;10150;10131;10131;10129;10139;10133;10151;
C449C;10168;10161;;10120;10140;10146;10121;10126;10130;10139;10138;10159;
C447A;;;;9459;9481;;;;9479;9485;9477;9494;
C429I;;10112;10092;10074;10090;10099;10075;10078;10082;10090;10089;;
2465;9019;9022;;9001;9030;9035;9037;9037;9049;9053;9031;;
5796;10091;;;;;10054;10040;10036;10055;10075;;;
5783;10159;10153;;10103;10127;10120;;10102;;10143;10139;;
2030;8919;8936;8982;8921;8944;8959;8954;8958;8970;8967;8932;8959;8950
0016A;10052;10091;;10069;10072;10076;10058;10064;10083;10096;10053;10090;
9981A;10091;10123;10162;10100;10103;10104;10085;10092;10114;10128;10091;10130;10110
9381I;9143;9158;9197;9136;9157;9168;9160;9165;9182;9185;9149;9183;9165
8368U;9124;9143;9178;9118;9139;9151;9142;9148;9163;9166;9127;9164;9147
3260B;;9573;9608;9540;9562;9559;;9552;;;9569;;
8414A;10084;10110;10146;10083;10090;10092;10071;10077;10097;10113;10079;10124;10097
2422;9321;9316;9369;9300;9322;9325;9324;9324;9339;9347;9333;9351;9331
2539;9194;;;;9201;9207;;9208;9221;9226;;;
2614;9411;9402;9456;9386;9409;9411;9411;9410;9424;9433;9425;9441;9418
9390;9264;9276;9319;9256;9276;9286;9276;9281;9299;9302;9270;9303;9284
9434;9857;9872;9919;9852;9859;9862;9847;9853;;9888;9863;9899;
