Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;9873(20);9840(09);10003(31);9989(01);9905(09);9966(20);10020(05);10025(07);10008(14);9879(29);10006(02);9927(25);9840(09/feb)
1387E;9829(20);9796(09);9960(31);9945(01);9861(09);9922(20);9969(05);9982(06);9962(14);9832(29);9961(02);9882(25);9796(09/feb)
1428;9541(20);9512(09);;;9569(09);9630(20);9687(05);9681(07);9661(14);9518(29);9656(02);9581(25);
8175;;9215(06);9275(19);9247(27);;9284(17);9292(25);9282(06);;;9235(27);9268(25);
8178D;9258(09);9262(06);9320(19);9292(27);9294(09);9332(17);9336(25);9325(06);9369(01);9330(30);9280(27);9315(25);9258(09/ene)
8025;9919(09);9913(05);9997(19);9948(27);9950(09);9991(17);9971(12);9964(07);9997(14);9987(03);9932(27);9980(25);9913(05/feb)
8019;9983(09);9972(05);10059(19);10007(27);10004(09);10047(16);10029(12);10021(07);;10041(03);9993(27);10041(25);
6325O;;9975(05);10066(20);10022(28);10029(09);10059(01);10036(24);10035(07);10063(14);10056(03);10026(27);10050(02);
9091O;9378(22);9379(08);9541(19);9470(26);9431(09);9486(20);9500(05);9510(07);9526(14);9426(30);9433(27);9461(25);9378(22/ene)
1212E;9801(20);9779(09);9955(31);;9842(09);9895(20);9928(05);9934(07);9928(13);9811(30);;9847(26);
1208H;9943(20);9925(09);10102(31);10055(26);9982(09);10041(20);10069(05);10074(07);10069(13);9957(30);10048(02);9990(26);9925(09/feb)
1249I;9570(20);9540(09);9730(31);9675(26);9605(09);9654(20);9688(05);9698(07);9700(14);9576(29);9658(02);9612(26);9540(09/feb)
2444;8724(09);8728(06);8834(19);8779(27);8779(09);8835(20);8867(25);8841(06);8855(14);8770(30);8782(27);8775(25);8724(09/ene)
4452;9796(09);9779(05);9866(31);9826(26);9837(09);9871(16);9874(28);9868(24);9869(14);9838(30);9862(25);9808(25);9779(05/feb)
B954;9980(09);9996(08);10082(20);10027(26);10036(09);10057(17);10047(25);10034(07);10071(14);10071(03);9991(27);10048(02);9980(09/ene)
B893;9899(24);9892(08);9980(20);9928(26);9968(10);9993(20);9966(24);9960(07);9988(09);9975(31);9882(27);9941(02);9882(27/nov)
B278;9994(09);9992(08);;10034(26);10061(09);10080(20);10056(31);10051(07);10086(09);10078(31);9988(27);10047(02);
B228;9992(09);9989(08);10085(20);10034(26);10060(09);10080(20);10056(24);10051(07);10090(08);10073(31);9984(27);10048(02);9984(27/nov)
0200E;9493(22);9492(08);9613(19);9574(26);9582(09);9605(20);9608(31);9590(07);9645(15);9591(30);9489(27);9557(10);9489(27/nov)
0076;9977(22);9965(08);;10044(27);10049(09);10065(20);10077(24);;;;9965(27);10039(08);
1082;9899(22);9903(09);10097(31);10016(27);9955(09);10001(20);10011(05);10037(07);10043(13);9918(30);9970(27);9963(27);9899(22/ene)
2331;8974(22);8967(09);9111(19);9042(26);9023(09);9071(20);9104(05);9078(06);9106(14);8985(30);9012(27);9039(25);8967(09/feb)
3469A;9556(09);9545(06);9653(31);9593(27);9599(09);9643(16);9657(27);9644(24);9648(14);9594(30);9626(25);9579(25);9545(06/feb)
5973;9957(08);10017(05);10084(31);10048(27);;10116(17);;10098(06);10086(13);10131(11);10091(25);10076(25);
5960;9925(08);9989(05);10062(31);10020(27);10059(08);10089(17);10071(23);10066(06);10062(13);10101(30);10059(25);10047(25);9925(08/ene)
5910;9932(08);9985(05);10068(31);10025(27);10062(08);10096(17);10076(11);10073(06);10064(13);10109(30);10068(25);10057(25);9932(08/ene)
6001;;9981(05);10043(20);10014(27);10054(09);10079(11);10050(28);10054(06);10060(14);10091(03);;10048(25);
1111;9893(20);9869(09);10061(31);9986(25);9928(09);9979(20);10013(05);10018(07);10019(13);9879(30);9958(27);9943(26);9869(09/feb)
1109;9950(22);9933(09);10124(31);10058(25);9980(09);10041(20);10067(05);10078(07);10082(14);9948(30);10027(27);9998(27);9933(09/feb)
8500A;9955(24);9935(08);10052(19);9998(27);10002(09);10016(20);10023(31);10003(07);10047(14);10003(30);9951(27);9999(25);9935(08/feb)
5000C;9857(08);9928(05);9985(20);;9995(09);10008(16);9997(24);9981(06);10009(14);10037(03);9997(26);9986(25);
4121;9261(09);9284(05);9379(19);9329(27);9353(09);9370(16);9387(25);9378(24);9402(14);9358(30);9344(22);9336(25);9261(09/ene)
5402;9869(08);9913(05);9998(31);9943(27);9975(08);9988(16);;9961(06);9990(12);9995(30);9977(22);9952(25);
8096;8913(09);8936(08);9002(19);8971(27);8992(09);9026(01);9039(25);9026(06);9059(14);8999(30);8957(27);8990(25);8913(09/ene)
1014;9933(22);9940(09);10146(31);10050(27);9989(09);10039(20);10048(05);10070(07);10081(14);9953(30);9996(27);10002(27);9933(22/ene)
1024E;9650(22);9645(09);9845(31);9754(27);9702(09);9753(20);9767(05);9779(07);9798(14);9661(30);9699(27);9706(27);9645(09/feb)
0367;9777(22);;9944(19);;9897(09);9902(20);9922(31);9896(07);;9895(30);9812(27);9870(08);
5530E;9322(08);9348(05);9428(20);9407(27);9435(09);9441(16);9454(25);9444(06);9453(14);9471(03);9429(26);9429(25);9322(08/ene)
5514;9194(08);9217(05);9296(20);9279(27);9307(09);9318(16);9325(25);9313(06);9326(14);9342(03);9292(26);9300(25);9194(08/ene)
3013;;8805(08);8889(19);8853(27);8852(09);8913(01);8912(31);8901(06);8948(14);8859(30);8828(27);8863(25);
4642E;9955(08);9984(05);10070(31);10024(27);10069(09);10094(17);10079(27);10072(06);10068(13);10086(30);10069(25);10036(25);9955(08/ene)
9898;9347(22);9344(08);9445(19);9415(27);9402(09);9453(20);9457(11);9435(07);9478(08);9411(30);9349(27);9420(02);9344(08/feb)
5270B;9308(08);9350(05);9437(19);9395(27);;9438(16);9447(25);;9448(14);9443(30);9417(27);9400(25);
9170;9555(22);9550(09);9712(19);9637(26);9585(09);;;9637(06);9690(08);9588(30);9591(27);9637(25);
C249I;9993(08);10042(05);;;10084(22);10091(10);10069(10);10084(15);10076(13);;10089(18);;
C649I;9975(08);10036(05);;10054(25);;10082(10);10056(10);10065(15);10062(13);10086(10);10069(26);10081(15);
C029O;10002(08);10050(05);;10078(25);10086(15);10106(10);10076(24);10085(16);10084(13);10109(11);10101(18);10116(15);
2661;8943(22);8924(09);9087(19);9014(28);8985(09);9033(20);9076(05);9055(06);9073(14);8953(30);8997(27);8999(25);8924(09/feb)
1549;9342(22);9332(09);9494(31);9415(28);9389(09);9441(20);9475(05);9469(25);9468(14);9348(29);9427(02);9400(25);9332(09/feb)
9771C;9747(22);9752(08);9856(19);9817(27);9796(09);9853(17);9851(31);9827(07);9868(08);9825(30);9759(27);9830(25);9747(22/ene)
1505;9458(20);9425(09);9589(31);9545(26);9486(09);9544(20);;9588(07);9577(14);9445(29);9560(02);9497(25);
3191E;8866(09);8876(09);8968(19);8917(27);8928(09);8976(01);8987(25);8963(07);9010(14);8921(30);8900(27);8930(25);8866(09/ene)
3129;9343(09);9337(09);9429(19);9365(27);9383(09);9412(16);9421(25);9402(06);9458(14);9374(30);9377(27);9388(25);9337(09/feb)
3196;9218(09);9223(05);9314(19);9251(27);9270(09);9301(16);9312(25);9295(06);9343(14);;9264(27);9269(25);
3200;9298(09);9299(05);9390(19);;9348(09);9377(16);;9370(06);9420(14);9339(30);9344(27);9348(25);
3195;;;;;;;9329(25);;9358(14);9277(30);9279(27);9285(25);
3175;9307(09);9305(09);9394(19);9332(27);9349(09);;9390(25);9371(06);9422(14);9342(30);9342(27);9356(25);
2462;7922(09);7951(08);8031(19);8018(27);;8065(21);8106(31);8079(07);8096(14);8019(30);7976(27);8007(25);
6155A;9957(08);10011(05);10083(20);10050(27);10086(09);10083(16);10063(24);10051(06);10092(14);10106(03);10076(25);10084(25);9957(08/ene)
6000A;9941(08);9950(05);10008(20);10004(25);10027(09);10045(16);10026(24);10012(06);10037(14);10066(03);10029(03);10035(25);9941(08/ene)
7178I;;9936(06);10020(19);9960(27);9960(09);10007(21);9986(31);9976(07);10021(08);10001(03);9963(27);10003(25);
7228;9940(09);9928(06);10011(19);9949(27);9953(09);9997(17);9975(24);9967(07);10012(08);9995(03);9956(27);9994(25);9928(06/feb)
9263D;9441(22);9442(09);9601(19);9531(27);9489(09);9547(20);9552(05);9558(06);9589(08);9492(30);9477(27);9528(25);9441(22/ene)
1690A;9806(21);9787(09);9902(31);9869(27);9832(09);9897(20);9936(19);9912(25);;9772(29);9903(02);9841(25);
1484C;9845(21);9822(09);9932(31);9919(27);9867(09);9939(20);9996(05);9967(24);9948(14);9805(29);9959(02);9878(25);9805(29/oct)
1495;9693(20);9669(09);;9755(27);9706(09);9774(20);9833(05);9800(25);9783(14);9654(29);;9709(25);
2867;9112(09);9089(09);9207(19);9136(27);9136(09);9187(17);9219(25);9194(06);9196(14);9113(30);9157(27);9132(25);9089(09/feb)
2870;9157(09);9121(09);9240(31);9163(27);9160(09);;9233(19);9210(06);9217(14);9139(30);9198(02);9169(25);
C929I;9999(07);10068(05);;10079(25);10106(22);;10093(10);10093(15);;10112(11);10074(26);10100(15);
C430E;7529(08);7527(05);7604(31);7594(25);7639(03);7662(02);7687(10);7691(09);7661(14);7677(11);7618(26);7616(15);7527(05/feb)
C139E;9939(07);10027(20);10022(31);10055(25);;10101(01);10079(10);10088(26);10057(13);10099(11);10064(26);10071(19);
C449C;9980(08);10049(05);;10061(25);10092(22);10095(01);10073(10);10081(15);10070(13);10100(11);10076(26);10088(15);
C447A;;;;9404(25);9447(28);;;;9423(13);9445(11);9417(26);9425(15);
C429I;;9994(05);10004(26);10019(25);10022(22);10043(09);10036(10);10027(16);10028(13);10055(11);10030(26);;
2465;8857(09);8863(06);;8911(27);8911(09);8963(17);8991(25);8969(06);8989(14);8899(30);8915(27);;
5796;9848(08);;;;;10012(16);9991(27);9986(06);9995(12);10016(30);;;
5783;9933(08);9984(05);;10014(27);10047(08);10077(16);;10039(06);;10076(30);10059(25);;
2030;8772(22);8764(09);8877(19);8833(27);8826(09);8879(20);8906(05);8878(06);8921(15);8807(30);8789(27);8834(25);8764(09/feb)
0016A;9892(22);9888(08);;9960(27);9968(09);9983(17);9990(31);9963(07);10022(15);9969(30);9889(27);9950(10);
9981A;9931(24);9924(08);10043(19);9991(27);9993(09);10018(20);10015(24);9994(07);10050(08);10003(30);9931(27);9991(02);9924(08/feb)
9381I;9003(22);8992(08);9076(19);9041(27);9040(09);9091(17);9103(25);9075(06);9132(08);9043(30);9012(27);9053(25);8992(08/feb)
8368U;8989(22);8979(08);9051(19);9024(27);9033(09);9080(17);9075(31);9063(06);9109(08);9045(30);8992(27);9036(25);8979(08/feb)
3260B;;9406(05);9507(19);9443(27);9461(09);9482(16);;9482(06);;;9463(22);;
8414A;9949(22);9934(06);10022(19);9976(27);9972(09);10007(17);9990(31);9976(07);10027(14);10000(30);9942(27);9990(25);9934(06/feb)
2422;9167(22);9149(09);9275(19);9206(27);9199(09);9246(20);9275(11);9249(06);9271(14);9166(30);9205(27);9206(25);9149(09/feb)
2539;9049(22);;;;9076(09);9127(20);;9132(06);9153(14);9043(30);;;
2614;9262(22);9233(09);9369(19);9290(27);9280(09);9332(20);9363(11);9339(06);9350(14);9240(30);9302(27);9288(25);9233(09/feb)
9390;9127(22);9113(08);9206(19);9163(27);9162(09);9208(17);9222(23);9191(06);9250(08);9150(30);9137(27);9176(25);9113(08/feb)
9434;9695(22);9683(08);9793(19);9750(27);9730(09);9774(27);9764(23);9745(06);;9729(30);9707(27);9758(25);
