Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;17.5(29);22.3(15);27.5(31);23.4(01);24.0(31);26.3(13);30.4(17);28.1(25);33.6(06);26.8(19);18.2(09);21.5(31);33.6(06/sep)
1387E;17.6(31);22.1(15);28.0(31);23.0(01);25.1(31);30.8(13);30.3(16);29.9(24);35.9(06);26.7(19);21.1(18);21.4(31);35.9(06/sep)
1428;15.7(18);20.4(15);27.1(31);23.4(05);27.3(31);30.5(15);34.1(17);31.3(27);29.9(05);25.2(08);19.1(09);19.6(31);34.1(17/jul)
8175;20.6(29);21.3(17);22.9(26);23.6(06);31.4(21);35.8(09);38.1(23);43.3(14);33.1(12);27.8(01);21.2(01);20.7(31);43.3(14/ago)
8178D;20.6(29);21.9(17);22.7(31);23.6(06);31.2(21);34.5(09);37.9(23);42.7(14);33.0(07);27.9(02);21.2(01);20.8(31);42.7(14/ago)
8025;29.8(29);24.8(01);25.6(12);29.7(06);35.8(16);31.9(16);38.5(06);39.5(15);34.0(09);30.3(21);27.6(01);24.5(27);39.5(15/ago)
8019;28.3(28);24.5(01);23.7(12);28.5(06);;30.9(21);39.0(12);38.9(12);;30.8(21);;24.9(27);
6325O;23.5(26);24.1(01);25.3(31);26.2(25);32.5(08);33.9(11);34.3(16);36.5(12);38.4(07);29.3(20);25.0(01);22.4(12);38.4(07/sep)
9091O;17.6(29);19.0(19);23.2(31);21.8(02);29.6(31);33.1(13);36.7(22);37.1(14);34.0(06);24.7(20);16.6(02);18.8(31);37.1(14/ago)
1212E;19.4(31);22.1(20);;;22.7(31);23.7(14);24.2(05);24.7(26);31.3(06);26.9(19);;21.0(28);
1208H;21.1(31);23.4(24);21.2(31);24.2(01);20.9(31);24.2(14);23.8(20);26.6(05);26.4(07);25.7(20);19.3(13);23.1(28);26.6(05/ago)
1249I;18.8(29);22.2(24);28.0(31);21.6(01);24.5(31);27.4(13);28.5(18);28.0(05);32.3(06);27.2(19);17.4(02);21.5(31);32.3(06/sep)
2444;19.2(28);17.5(16);20.5(31);19.5(01);28.5(30);31.2(10);37.5(11);38.8(14);29.4(05);24.9(20);14.6(10);20.2(30);38.8(14/ago)
4452;18.0(26);22.0(15);32.4(31);27.4(07);34.0(29);36.4(10);40.5(10);43.5(14);38.6(05);30.7(19);21.4(13);20.3(31);43.5(14/ago)
B954;24.7(29);20.9(01);20.7(12);23.9(29);27.0(07);30.4(22);35.0(24);34.3(12);33.3(08);27.5(21);24.5(01);21.5(27);35.0(24/jul)
B893;21.5(29);20.2(05);20.0(30);21.5(27);28.8(16);32.7(15);33.1(22);36.8(12);30.7(03);26.8(03);22.2(01);19.6(30);36.8(12/ago)
B278;21.2(29);23.5(06);23.1(29);24.2(01);28.8(31);35.2(15);38.5(23);38.3(13);34.4(08);27.8(03);24.8(01);21.7(27);38.5(23/jul)
B228;24.2(29);22.2(05);24.2(29);26.2(01);29.8(16);34.5(15);33.5(23);37.0(13);33.2(02);27.9(21);25.1(01);23.4(27);37.0(13/ago)
0200E;20.2(29);20.2(03);19.9(31);23.3(03);28.7(29);33.9(14);33.6(22);35.3(14);31.3(15);25.7(02);22.0(01);20.4(30);35.3(14/ago)
0076;21.3(29);20.9(01);;21.8(03);26.2(16);32.5(15);;;29.6(08);;25.0(01);22.2(27);
1082;19.9(28);22.3(20);28.7(31);26.2(24);30.9(08);34.1(13);34.7(05);29.0(05);38.8(06);29.5(20);21.0(02);25.2(31);38.8(06/sep)
2331;14.2(27);17.0(15);23.3(31);19.8(02);29.9(31);30.3(13);35.5(22);38.0(14);32.6(06);24.9(19);14.7(10);17.0(31);38.0(14/ago)
3469A;17.7(27);19.1(14);25.7(31);25.0(06);33.4(30);35.6(09);39.5(10);43.7(14);35.2(05);28.4(08);20.0(08);19.7(31);43.7(14/ago)
