Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;2.3(06);6.7(07);5.9(27);6.2(17);6.5(02);10.3(04);13.8(09);14.6(09);12.1(30);9.1(23);7.6(14);6.3(19);2.3(06/ene)
1387E;-3.2(08);1.8(28);0.0(27);0.8(17);1.5(02);6.1(04);10.0(09);11.2(20);10.2(28);4.1(23);1.7(14);1.4(17);-3.2(08/ene)
1428;-4.2(16);0.7(07);1.6(21);1.9(17);1.0(04);5.7(04);9.1(09);9.6(08);8.2(30);5.0(26);0.7(28);1.5(15);-4.2(16/ene)
8175;-14.1(12);-1.0(14);-2.7(21);-0.6(18);5.9(12);10.4(22);11.1(08);12.4(01);10.8(26);2.7(25);-2.3(07);-2.5(15);-14.1(12/ene)
8178D;-11.3(12);0.3(27);-0.6(21);1.3(18);7.2(11);13.2(06);13.6(13);13.7(01);12.1(21);4.3(25);-0.3(07);-1.4(15);-11.3(12/ene)
8025;1.0(13);5.6(16);5.6(21);6.8(17);12.5(05);16.3(06);19.0(10);19.7(03);16.8(29);12.0(25);6.3(07);5.4(14);1.0(13/ene)
8019;2.2(04);5.0(17);5.0(21);7.4(17);;15.6(06);19.1(02);19.5(04);;12.5(25);;3.8(31);
6325O;3.8(04);7.1(17);6.1(21);11.7(06);10.7(02);16.4(22);18.5(07);20.3(01);16.9(27);15.2(16);8.0(24);7.8(07);3.8(04/ene)
9091O;-6.9(08);0.5(23);-4.5(10);-2.4(16);1.0(02);5.2(28);6.0(09);6.7(02);7.4(30);-1.2(24);-1.0(19);-0.6(17);-6.9(08/ene)
1212E;-0.6(08);4.0(07);;;5.3(02);9.4(05);12.8(15);12.4(08);12.1(19);7.5(23);;2.9(18);
1208H;2.1(07);5.3(07);4.4(21);5.7(18);7.8(02);11.7(05);14.8(13);14.9(08);13.5(30);9.5(23);6.3(27);5.4(14);2.1(07/ene)
1249I;-2.1(08);2.2(07);0.2(21);1.1(17);4.2(02);9.0(05);12.0(13);11.6(08);9.8(19);6.5(23);2.3(27);0.2(18);-2.1(08/ene)
2444;-10.7(12);-2.2(23);-3.9(21);-1.5(17);2.7(10);7.5(24);8.3(13);9.7(01);6.3(21);1.3(24);-2.5(23);-2.5(01);-10.7(12/ene)
4452;-4.5(13);3.1(22);2.1(21);6.7(30);5.5(02);9.3(04);12.7(07);13.6(08);11.2(29);6.1(25);1.0(07);-0.4(01);-4.5(13/ene)
B954;0.0(06);4.5(16);5.8(17);5.4(18);11.1(03);15.2(07);18.2(14);20.2(02);17.7(21);10.8(25);6.1(26);5.4(14);0.0(06/ene)
B893;-0.6(06);4.1(07);5.4(23);1.9(08);9.3(18);15.5(26);17.0(10);18.1(29);17.0(21);11.4(15);4.0(28);4.1(06);-0.6(06/ene)
B278;-2.4(06);1.9(16);2.5(22);0.4(08);9.1(12);13.9(07);16.6(02);18.1(03);16.2(29);8.2(24);5.1(27);1.9(20);-2.4(06/ene)
B228;3.1(06);7.2(16);6.8(22);7.0(08);13.5(12);17.0(07);21.0(02);21.3(30);19.0(21);14.1(12);8.6(25);6.3(03);3.1(06/ene)
0200E;-0.5(11);4.9(14);4.0(19);4.7(12);8.7(02);14.4(23);14.3(13);14.1(01);13.5(19);10.8(23);1.8(28);2.6(06);-0.5(11/ene)
0076;-0.5(06);6.9(11);;6.9(18);9.7(03);17.4(07);;;16.7(21);;4.9(29);3.9(20);
1082;-1.6(07);4.7(11);0.2(10);1.1(16);4.6(03);8.9(05);10.7(09);11.9(02);11.0(30);6.2(14);3.6(19);1.4(15);-1.6(07/ene)
2331;-8.5(13);-3.3(07);-5.3(10);-3.0(17);-0.4(04);5.7(28);4.4(13);3.8(01);3.8(19);-2.6(14);-4.2(10);-4.6(17);-8.5(13/ene)
3469A;-4.6(12);2.7(23);0.3(21);4.3(17);5.7(02);11.0(04);13.6(07);14.5(21);11.8(19);7.0(25);1.9(30);2.8(15);-4.6(12/ene)
5973;3.6(15);10.6(19);8.4(21);13.4(03);13.1(02);17.5(02);18.9(02);19.2(01);18.6(29);14.4(04);7.0(26);7.7(01);3.6(15/ene)
5960;-3.1(03);2.9(22);-0.4(21);7.9(03);;10.5(02);12.8(08);11.7(01);11.7(19);6.9(22);;0.8(04);
5910;-0.6(16);6.1(22);3.5(21);10.1(30);8.9(02);13.2(03);16.0(08);16.8(02);15.0(19);11.3(22);3.7(24);3.3(01);-0.6(16/ene)
6001;;6.4(23);5.4(26);11.1(06);9.4(02);13.0(03);15.2(14);16.1(09);14.3(27);12.0(05);;4.3(03);
1111;2.5(07);6.5(07);5.0(10);5.5(08);7.0(03);11.3(05);14.0(09);14.0(01);13.2(30);10.0(23);5.5(27);4.5(08);2.5(07/ene)
1109;-0.6(08);5.0(14);2.5(10);3.1(08);5.9(03);9.7(05);13.6(16);12.9(01);10.2(09);2.5(07);4.6(27);1.6(20);-0.6(08/ene)
8500A;0.8(05);7.1(17);4.6(21);5.1(17);11.8(04);16.5(02);17.5(14);17.7(01);15.8(22);12.0(24);5.7(28);5.7(17);0.8(05/ene)
5000C;5.3(10);9.2(22);7.0(20);12.8(17);13.2(11);15.1(02);18.3(20);19.2(02);17.7(27);15.4(23);8.4(28);9.7(01);5.3(10/ene)
4121;-6.3(12);0.1(23);0.1(21);3.8(17);6.9(02);11.8(23);15.5(07);16.0(01);11.8(20);5.5(28);0.0(28);-0.3(01);-6.3(12/ene)
5402;-3.5(03);2.9(23);-0.3(21);4.8(18);6.7(02);12.3(02);;15.8(02);12.8(28);8.3(27);-1.0(28);-1.5(03);
8096;-10.9(12);0.1(16);-1.3(21);-1.0(17);4.4(01);9.5(22);10.9(14);11.1(01);7.5(21);2.0(24);-1.8(07);-3.0(17);-10.9(12/ene)
1014;-2.9(08);3.6(14);1.8(10);2.9(08);6.7(03);11.2(28);13.4(09);14.1(02);10.6(30);7.0(14);3.8(19);1.2(17);-2.9(08/ene)
