Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;7.8;11.1;11.9;13.1;14.4;15.6;18.7;20.1;18.5;16.5;11.7;11.8;7.8
1387E;6.8;10.9;11.6;13.3;14.2;15.8;18.7;21.1;18.7;16.2;10.9;11.1;6.8
1428;5.9;10.2;10.8;12.4;11.7;13.6;16.4;17.5;18.0;13.8;8.6;9.0;5.9
8175;0.3;8.6;9.1;10.0;15.5;24.1;28.7;29.4;20.4;15.4;6.7;9.7;0.3
8178D;0.4;8.6;8.6;10.0;16.4;23.5;28.6;29.5;20.8;16.6;6.9;9.1;0.4
8025;8.9;15.7;12.8;14.6;20.0;24.3;28.1;27.8;27.6;21.1;13.7;15.3;8.9
8019;8.8;14.7;13.0;14.5;;23.6;28.0;28.1;;21.0;;14.7;
6325O;10.3;17.3;16.0;16.7;20.7;23.5;26.0;26.8;26.6;21.9;17.4;15.1;10.3
9091O;-1.3;8.6;6.5;9.5;12.6;13.8;16.4;19.9;17.5;14.4;4.0;3.5;-1.3
1212E;5.2;9.8;;;13.4;14.2;18.0;18.9;18.0;15.0;;9.5;
1208H;7.5;11.2;12.1;13.0;13.7;16.3;19.6;20.6;18.8;16.5;11.9;10.8;7.5
1249I;2.7;7.2;8.1;8.8;10.5;13.6;17.4;19.7;17.0;14.4;7.7;6.4;2.7
2444;-2.0;7.6;5.2;10.1;11.4;17.7;18.7;22.8;16.5;13.3;1.9;3.8;-2.0
4452;3.9;11.6;14.7;18.9;17.1;24.1;25.8;30.0;22.3;19.7;9.8;12.8;3.9
B954;9.8;15.0;11.8;14.6;19.4;23.5;27.3;28.1;24.9;20.4;13.6;13.1;9.8
B893;9.6;11.8;11.6;12.7;18.8;23.7;25.0;25.2;23.0;19.5;12.5;12.1;9.6
B278;8.8;12.8;9.7;12.0;19.4;23.4;27.9;27.7;23.5;21.1;13.8;13.0;8.8
B228;9.4;13.0;10.8;12.6;19.5;23.8;27.7;28.1;24.0;21.1;14.0;13.6;9.4
0200E;4.1;8.3;9.8;11.3;14.2;23.7;27.1;22.8;21.3;16.2;9.3;9.3;4.1
0076;7.4;12.1;;13.9;16.2;23.9;;;23.0;;11.9;12.2;
1082;4.3;11.3;9.6;11.7;14.8;16.3;19.1;20.1;20.1;17.2;10.0;10.0;4.3
2331;-2.5;5.6;3.6;8.1;11.6;14.8;17.3;21.9;17.4;13.1;2.7;4.1;-2.5
3469A;3.2;10.2;13.2;16.3;15.9;21.6;22.8;29.0;18.2;17.6;9.4;11.9;3.2
5973;8.6;14.8;15.0;18.4;19.2;22.1;24.6;23.6;24.3;20.6;14.4;14.6;8.6
5960;8.3;14.5;15.3;20.4;;23.8;29.3;28.6;25.3;22.8;;16.1;
5910;8.0;14.6;15.1;20.2;19.9;23.0;25.6;26.5;24.8;21.8;12.9;15.0;8.0
6001;;14.1;13.4;15.2;17.0;21.0;22.3;21.8;22.9;18.7;;14.2;
1111;5.9;10.6;10.4;12.0;13.9;15.9;18.6;20.5;19.0;17.4;11.4;10.5;5.9
1109;5.3;11.4;11.0;12.7;15.3;15.8;19.0;20.4;19.8;16.8;10.9;8.9;5.3
8500A;6.6;14.2;11.9;12.7;17.7;23.2;26.4;25.5;24.0;20.0;10.4;13.5;6.6
5000C;9.4;14.7;14.3;14.8;17.7;20.7;25.3;25.5;23.3;20.8;13.3;14.4;9.4
4121;1.4;10.5;12.4;13.9;17.9;22.4;27.9;29.0;21.2;17.9;7.5;6.9;1.4
5402;7.8;13.0;17.0;17.9;20.8;24.5;;32.5;23.5;21.9;11.9;14.4;
8096;0.9;7.4;9.7;11.6;14.7;18.4;26.4;27.3;18.8;14.5;4.4;6.8;0.9
