Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
8178D;;;;;;;33.1;;;;;;
9091O;5.5;;;;;;22.4;;;;;;
4452;7.9;12.3;14.9;19.3;22.8;26.9;29.3;30.8;25.4;20.4;11.4;10.7;19.3
0200E;4.9;9.0;10.0;12.5;17.9;;27.1;;21.5;16.2;9.8;7.5;
2331;2.1;6.6;8.4;12.0;16.8;22.4;27.7;28.3;21.2;14.1;6.7;5.0;14.3
3469A;8.0;11.6;14.2;17.7;22.1;27.5;31.4;31.6;25.8;20.8;12.3;10.9;19.5
1024E;;10.2;;;15.9;19.6;21.0;;19.4;14.3;9.4;8.9;
2867;4.2;9.5;12.1;16.2;19.1;24.7;27.8;29.3;22.8;16.9;9.0;7.7;16.6
2422;1.8;7.6;10.6;14.4;19.5;25.6;30.3;30.7;23.1;15.7;6.7;5.2;15.9
2539;2.2;7.0;8.9;11.7;16.5;21.4;26.2;25.4;18.2;13.0;5.7;;
