Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;14.3;14.9;14.7;14.8;15.0;17.3;18.1;18.7;19.4;18.2;12.2;16.1;19.4
1387E;13.4;13.4;10.7;13.6;13.3;16.5;17.2;17.7;18.6;17.6;10.2;15.1;18.6
1428;12.3;11.6;11.9;11.5;11.9;16.3;15.8;15.5;16.8;14.5;8.7;13.0;16.8
8175;9.6;8.4;7.5;9.2;15.8;16.8;21.7;25.1;20.5;14.8;12.6;9.6;25.1
8178D;10.8;8.5;8.0;10.7;16.4;18.6;23.2;26.1;20.7;16.1;12.7;10.7;26.1
8025;16.3;16.2;13.2;14.8;17.9;22.0;24.2;25.6;24.6;20.9;20.1;14.8;25.6
8019;15.7;16.2;12.9;14.6;;22.0;23.2;24.5;;19.4;;14.4;
6325O;13.8;14.1;17.5;17.2;20.1;25.2;24.9;27.1;25.6;20.9;17.4;14.3;27.1
9091O;9.6;11.0;9.6;10.2;12.6;16.4;18.4;17.9;19.8;12.0;9.4;10.2;19.8
1212E;12.4;13.1;;;13.2;17.2;17.5;18.5;18.1;15.6;;17.4;
1208H;14.1;13.7;14.8;15.6;15.5;18.4;18.9;20.0;18.8;17.0;11.7;15.7;20.0
1249I;11.6;13.5;15.0;13.4;13.1;16.5;17.0;17.9;18.2;15.6;10.4;13.1;18.2
2444;8.7;6.7;9.0;10.0;14.3;16.0;17.5;22.1;18.8;13.3;6.9;6.6;22.1
4452;13.4;12.8;13.8;14.4;17.2;19.5;20.0;22.7;22.9;19.2;12.0;13.8;22.9
B954;13.6;16.7;13.9;15.6;16.7;21.9;24.9;25.9;25.2;19.7;20.5;16.7;25.9
B893;13.1;12.6;12.2;15.0;17.2;22.6;24.5;24.6;24.1;20.2;14.7;13.8;24.6
B278;10.7;12.7;13.6;14.9;16.5;22.9;23.7;25.7;23.5;20.8;14.8;14.9;25.7
B228;13.6;14.4;14.4;16.5;18.9;23.9;26.2;27.3;24.8;21.6;17.8;15.8;27.3
0200E;11.9;11.2;11.4;12.0;18.5;23.9;24.2;24.3;21.6;17.4;12.4;12.4;24.3
0076;11.1;12.9;;15.1;19.5;24.2;;;24.3;;15.8;14.2;
1082;14.6;16.4;17.3;16.8;13.6;19.0;19.2;20.6;19.8;20.7;11.7;13.9;20.7
2331;9.0;7.8;6.7;7.0;13.2;14.5;14.1;15.5;15.9;11.5;6.1;8.3;15.9
3469A;12.6;11.9;11.9;13.4;18.7;20.2;22.1;24.9;25.1;18.0;10.7;12.8;25.1
5973;15.6;15.0;17.4;17.5;20.2;22.1;24.5;25.4;24.6;21.3;20.7;16.8;25.4
5960;13.6;13.6;16.7;14.9;;18.0;20.5;21.7;25.5;19.9;;15.1;
5910;13.9;13.7;17.6;16.3;18.6;20.0;24.0;23.5;24.6;20.4;20.1;16.3;24.6
6001;;14.1;14.9;15.3;17.6;20.0;21.6;22.4;22.7;20.3;;15.5;
1111;13.0;16.8;17.7;14.2;14.5;18.5;19.2;19.5;19.5;19.3;13.0;14.7;19.5
1109;14.2;17.4;14.6;16.4;15.9;19.4;19.6;20.4;20.0;17.2;13.0;16.0;20.4
8500A;14.9;15.4;12.7;14.5;20.0;22.3;23.2;25.7;23.1;18.6;15.2;13.6;25.7
5000C;15.6;15.1;15.2;16.2;21.8;21.2;24.5;26.1;23.5;20.7;20.0;16.9;26.1
4121;11.3;9.5;8.8;11.8;18.8;21.2;24.2;24.7;21.5;17.0;12.2;11.4;24.7
5402;12.9;12.5;13.5;14.5;18.5;19.3;;23.8;25.1;19.7;18.2;15.0;
8096;8.3;7.0;9.1;11.2;16.0;18.4;21.9;22.6;21.0;13.4;8.4;9.7;22.6
1014;13.0;18.9;14.2;18.8;16.3;19.8;21.0;21.2;22.4;18.3;12.4;13.7;22.4
1024E;11.9;14.2;18.0;18.4;14.0;17.3;18.0;19.0;21.5;19.5;11.2;15.5;21.5
0367;5.0;;8.3;12.2;15.0;18.3;20.3;20.6;21.9;16.9;11.7;6.6;
5530E;11.0;10.8;9.7;11.7;16.1;18.4;21.3;22.3;20.1;17.1;16.7;10.6;22.3
5514;10.5;10.5;8.0;11.2;17.0;18.4;21.6;23.5;20.0;16.7;16.2;9.5;23.5
3013;5.6;6.9;4.1;7.8;12.8;15.1;15.2;17.0;16.3;11.5;3.2;8.2;17.0
4642E;13.3;14.3;15.0;16.0;17.5;19.0;22.9;24.2;22.8;20.7;18.4;15.3;24.2
9898;8.3;8.8;8.5;10.2;15.3;19.6;22.7;22.1;19.9;13.3;7.8;7.8;22.7
5270B;12.2;11.0;16.9;12.9;;21.5;28.0;30.1;26.3;18.0;15.8;13.2;
9170;8.4;10.4;8.8;11.6;15.8;18.7;19.7;19.8;21.5;13.8;10.1;10.3;21.5
C249I;19.3;17.6;;;21.7;22.2;23.7;25.7;23.5;;20.1;;
C649I;;17.9;;;;21.2;22.9;26.9;23.7;;20.1;17.9;
C029O;16.5;16.1;;17.6;19.4;21.0;22.6;26.9;23.0;22.1;;16.6;
2661;7.6;7.7;8.6;10.5;14.4;15.9;16.2;18.1;16.6;14.5;5.6;7.8;18.1
1549;11.0;10.8;10.3;13.5;15.1;18.0;18.3;17.8;18.1;14.2;9.0;9.9;18.3
9771C;7.8;9.4;8.6;12.9;17.6;20.7;21.3;22.8;21.5;14.4;9.4;7.5;22.8
1505;12.1;12.0;7.3;11.2;12.3;16.0;16.0;16.1;16.8;14.3;7.9;11.5;16.8
3191E;8.0;8.2;10.7;10.8;15.9;20.0;22.5;26.6;20.7;14.2;7.3;8.5;26.6
3129;9.5;8.5;7.2;10.4;16.3;19.3;20.2;22.7;18.9;14.1;11.4;9.6;22.7
3196;10.4;8.6;12.3;13.0;17.9;20.7;23.0;25.4;21.3;13.6;9.6;9.9;25.4
3200;10.0;9.0;12.0;12.6;18.8;21.6;23.2;26.6;22.0;14.4;9.6;8.4;26.6
3195;9.7;9.1;11.8;12.6;;20.6;23.5;26.1;21.6;14.7;10.5;10.1;
3175;8.5;7.8;;9.5;15.0;16.2;17.5;;19.3;;10.2;8.0;
2462;4.9;3.6;4.9;5.4;11.4;14.3;17.1;20.0;16.3;9.7;2.7;8.2;20.0
6155A;15.9;14.1;14.8;16.9;22.1;23.9;27.2;27.5;23.5;19.5;18.3;14.2;27.5
6000A;15.9;15.2;15.7;16.5;19.4;23.0;27.1;25.1;24.1;;20.7;16.4;
7178I;13.7;13.1;12.6;14.8;17.8;22.0;24.6;25.8;22.8;19.2;18.3;12.4;25.8
7228;12.8;11.9;11.6;14.3;16.8;21.0;24.2;25.6;23.1;19.0;18.0;13.6;25.6
7031;12.8;13.6;15.0;15.5;16.5;22.0;23.6;25.6;26.0;19.6;18.3;14.2;26.0
9263D;7.5;12.6;7.6;10.1;14.6;17.0;;18.0;20.2;12.4;;7.9;
9262;9.5;;10.7;12.7;16.7;20.3;19.4;21.4;21.4;15.4;11.7;12.0;
1690A;13.1;12.6;10.2;13.6;14.7;18.1;17.7;19.0;19.3;16.1;8.6;14.1;19.3
1484C;12.8;12.9;15.7;13.7;13.3;19.0;18.9;17.4;18.9;15.7;10.3;14.6;19.0
1495;12.2;11.8;;13.1;13.9;19.2;20.3;17.6;17.7;15.9;;13.5;
2867;9.8;7.9;7.1;11.3;15.2;15.0;14.7;15.4;16.4;13.0;6.7;7.5;16.4
2870;10.8;9.1;9.3;12.7;16.7;16.9;18.4;20.8;19.6;15.5;8.8;9.3;20.8
C929I;18.9;18.8;18.3;20.1;20.0;20.9;21.8;24.1;24.2;23.1;21.4;19.7;24.2
C430E;9.0;8.5;7.8;8.4;13.4;16.3;19.6;19.8;17.6;15.5;10.2;7.3;19.8
C139E;18.6;16.9;17.8;18.8;;20.2;21.7;26.7;24.0;22.7;20.4;19.5;
C449C;18.3;17.5;18.9;19.8;24.2;23.7;23.8;26.6;23.9;22.2;20.3;18.8;26.6
C447A;13.9;14.4;15.8;14.0;15.9;20.2;26.7;27.4;22.4;22.7;15.0;14.6;27.4
C429I;19.0;18.4;18.0;18.5;;20.9;23.1;30.6;23.3;23.1;19.8;18.3;
2465;8.7;10.4;13.6;10.2;14.6;16.3;19.0;24.1;22.1;13.2;7.2;7.4;24.1
5796;14.3;13.3;17.6;14.6;19.2;19.7;23.5;24.7;25.5;20.0;19.5;16.0;25.5
5783;14.4;13.8;;15.2;18.4;20.0;;24.2;;;19.5;;
2030;8.9;7.0;6.5;8.7;13.0;15.8;16.1;17.2;15.6;10.1;6.8;7.7;17.2
0016A;14.1;14.3;;13.7;17.1;20.7;22.3;23.3;23.0;17.5;11.7;12.7;
9981A;13.9;15.7;12.1;13.8;17.6;21.8;23.4;24.0;22.1;17.9;13.9;16.0;24.0
9381I;5.7;7.3;8.1;9.5;14.1;17.3;19.4;21.7;18.6;11.6;5.9;8.4;21.7
8368U;6.2;6.0;7.6;9.7;13.1;15.0;16.9;18.5;18.2;12.8;7.8;6.7;18.5
3260B;11.8;10.2;11.0;11.9;18.4;22.0;23.1;25.5;;14.8;10.3;;
8416;16.0;16.0;12.8;15.6;21.5;22.0;24.4;26.0;23.1;20.5;18.6;16.4;26.0
8414A;13.1;14.8;12.2;14.7;20.0;20.9;23.0;25.2;22.3;19.5;17.4;14.8;25.2
2422;10.3;8.6;10.6;11.5;15.2;16.5;18.5;20.6;18.6;13.3;7.4;9.0;20.6
2539;9.0;7.9;8.4;9.4;12.2;14.2;14.4;18.2;16.8;11.1;5.3;7.6;18.2
2614;11.5;9.9;10.0;12.1;17.4;17.2;18.9;20.2;18.7;15.0;9.0;9.6;20.2
9390;7.1;8.8;9.4;9.8;14.8;18.4;22.2;21.7;21.3;13.1;8.6;10.0;22.2
9434;12.8;9.9;10.6;12.9;17.6;21.1;23.7;23.2;22.5;14.6;10.7;12.4;23.7
