Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;28/84(30);;23/56(11);23/57(24);25/72(12);19/56(19);;24/53(05);22/54(26);;;;
1387E;;;28/63(11);;30/76(12);20/61(20);;20/52(05);17/68(13);23/68(02);;30/74(07);
1428;;20/84(20);;;25/63(12);23/54(20);;;26/46(07);23/68(02);;23/71(07);
8175;;;28/46(19);34/55(16);;;;;;27/68(31);26/62(29);;
8178D;;28/63(08);06/35(20);;26/48(10);28/40(05);28/60(12);21/67(14);10/66(23);99/55(31);27/52(27);;
8025;27/64(22);29/68(01);06/57(30);06/44(07);;;04/46(26);09/48(08);07/49(01);;;;
8019;99/82(22);30/74(02);;31/59(26);;;02/58(26);08/54(08);;29/76(03);;29/89(04);
6325O;;25/93(10);04/68(01);99/71(07);24/82(10);;24/80(31);;;99/78(31);25/74(01);;
9091O;;24/71(03);99/57(19);12/50(23);21/71(31);23/59(20);99/52(05);01/48(05);29/67(02);23/61(03);34/58(29);22/74(27);
1212E;28/96(30);;;;;;26/65(12);99/61(05);;26/85(31);;26/96(07);
1249I;24/85(31);24/71(01);26/54(13);17/45(01);31/61(12);;32/51(12);30/43(05);33/45(17);26/65(20);33/71(27);27/86(27);
2444;27/70(30);18/69(20);16/53(31);15/63(25);21/59(09);18/56(15);28/50(11);27/48(14);22/67(01);21/46(29);99/59(27);99/58(05);27/70(30/ene)
4452;30/65(22);16/62(21);07/67(20);20/48(10);18/53(09);19/53(12);25/43(11);30/40(07);21/44(05);21/49(29);32/46(27);34/48(02);07/67(20/mar)
B954;27/100(22);99/87(01);02/68(20);07/55(26);27/76(11);36/52(23);02/61(12);;99/61(02);;30/76(28);27/82(08);
B893;26/111(22);;;;;10/55(18);34/71(31);02/71(17);;;02/95(06);99/76(03);
B278;24/130(22);;;08/59(07);08/67(23);;08/72(26);;;;;30/80(10);
B228;27/75(22);33/60(01);09/57(20);08/47(07);03/48(23);;06/57(26);08/39(23);;06/44(22);02/58(06);33/69(10);
0200E;04/84(10);06/73(21);32/51(14);05/55(26);25/53(12);05/53(17);27/72(31);21/53(14);30/50(19);26/69(29);02/70(11);33/70(28);04/84(10/ene)
1082;;12/84(21);31/72(11);14/63(24);;;31/54(12);;;22/78(02);29/78(27);29/89(10);
2331;24/99(22);19/73(20);02/73(20);;25/69(12);24/61(15);25/62(23);04/52(23);19/61(07);;22/62(02);23/63(07);
3469A;18/78(20);20/75(09);09/45(17);24/51(10);19/49(09);10/66(12);32/46(12);09/53(24);18/54(14);19/73(29);34/55(27);15/52(25);18/78(20/ene)
5973;;11/71(15);11/92(31);;;12/58(24);;26/45(04);;;11/87(19);11/73(16);
5960;;;;;;;26/50(31);;;99/59(30);;;
5910;23/61(20);12/68(24);08/80(30);13/70(23);;12/50(24);;24/48(07);12/72(06);10/67(11);10/76(19);21/74(25);
6001;;08/86(15);07/85(31);08/76(24);07/73(20);06/77(25);07/95(09);08/74(14);08/76(06);;;10/96(16);
1111;29/89(31);18/89(20);30/65(13);08/66(13);31/71(12);28/61(28);32/56(13);30/44(07);02/51(20);32/77(20);32/90(27);;
1109;20/89(19);28/84(01);33/56(11);10/56(13);;27/58(28);28/61(12);28/45(07);29/48(29);29/74(03);31/80(27);28/87(08);
8500A;25/76(22);25/71(01);33/41(20);03/42(04);30/54(11);24/41(21);35/59(31);10/52(15);32/59(01);18/38(03);28/47(28);30/62(08);25/76(22/ene)
5000C;22/69(30);25/61(10);05/67(20);;29/57(23);29/56(18);22/74(12);30/52(27);29/53(08);30/57(03);;22/74(05);
4121;25/69(22);26/57(10);04/52(18);10/44(24);24/55(10);;30/59(11);;07/51(23);24/50(31);24/51(01);24/46(08);
5402;;21/76(08);;26/52(01);26/68(10);01/52(05);;23/55(29);;;;;
8096;;14/57(20);;14/50(01);21/48(09);13/45(03);;23/51(11);24/45(14);19/43(30);;27/54(08);
1014;;;;17/46(09);29/78(12);29/84(21);27/54(13);24/46(04);18/55(13);29/71(31);31/78(02);;
1024E;;;18/89(02);16/85(01);29/89(12);17/76(01);31/62(12);31/42(07);17/85(13);19/85(03);33/102(27);33/122(05);
0367;;;;;;;;17/58(03);;;03/67(06);27/48(04);
5530E;;29/54(08);16/71(30);02/52(16);09/65(09);25/59(04);16/54(27);26/96(15);15/59(05);30/45(03);27/48(23);03/55(11);
5514;18/72(08);22/56(21);18/72(08);17/45(09);16/58(31);19/62(16);28/53(18);18/59(24);16/72(13);;36/62(27);32/40(08);
3013;25/91(22);99/64(09);01/46(19);26/41(06);24/54(09);18/52(27);25/49(23);30/63(14);25/52(01);20/42(29);29/47(28);29/69(05);25/91(22/ene)
4642E;30/58(22);18/80(21);24/54(29);14/46(23);23/51(10);20/45(17);22/51(26);24/46(07);25/62(05);22/58(30);30/61(25);23/59(25);18/80(21/feb)
