Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;326;;309;276;323;284;;243;211;;;;
1387E;;;257;;308;266;;227;222;271;;348;
1428;;330;;;278;233;;;188;203;;286;
8175;;;252;289;;;;;;256;301;;
8178D;;135;92;;128;128;135;124;99;87;90;;
8025;180;181;177;182;;;170;182;170;;;;
8019;385;332;;317;;;268;296;;253;;354;
6325O;;441;385;413;354;;325;;;369;411;;
9091O;;323;273;247;249;255;260;260;207;197;242;319;
1212E;371;;;;;;252;281;;318;;399;
1249I;193;165;145;136;140;;118;131;113;151;179;203;
2444;219;272;227;198;226;203;200;179;177;157;209;251;210
4452;185;205;199;177;234;208;251;207;183;151;166;208;198
B954;457;372;353;345;350;301;276;;297;;373;387;
B893;432;;;;;347;358;390;;;511;355;
B278;323;;;315;324;;319;;;;;259;
B228;150;155;182;175;167;;168;173;;148;201;120;
1082;;322;270;258;;;218;;;225;198;320;
2331;381;449;406;;370;379;401;427;312;;344;325;
3469A;250;291;197;213;254;240;270;243;223;186;203;275;237
5973;;399;429;;;337;;271;;;346;443;
5960;;;;;;;262;;;245;;;
5910;337;435;415;430;;356;;296;334;371;351;419;
6001;;578;537;490;505;474;571;454;425;;;571;
1111;361;391;277;290;269;266;240;211;240;277;360;;
1109;321;375;244;235;;257;219;180;186;204;270;331;
8500A;225;173;172;158;171;176;174;168;183;170;190;179;178
5000C;245;294;279;;255;215;253;198;190;246;;281;
4121;181;177;188;168;175;;186;;145;141;148;160;
5402;;216;;204;217;258;;242;;;;;
8096;;162;;149;160;173;;155;134;101;;116;
1014;;;;257;256;243;228;214;206;248;234;;
1024E;;;405;367;301;284;248;224;285;354;340;489;
0367;;;;;;;;225;;;222;135;
5530E;;165;159;177;183;197;212;163;159;118;125;102;
3013;175;171;136;129;167;136;138;127;104;96;128;158;139
4642E;243;259;220;274;274;291;303;272;262;245;214;236;258
9898;170;239;190;210;203;;230;214;196;174;173;160;
5270B;237;238;230;213;;230;;209;;;219;234;
9170;;;;295;;;;216;205;;;220;
C249I;492;435;;;;610;634;564;499;;466;;
C649I;;510;;;;;;886;687;;503;460;
C029O;419;;;428;759;;828;;467;464;;;
2661;;306;;223;;280;;238;;226;;278;
1549;110;123;131;137;156;146;161;;112;98;105;129;
9771C;188;200;191;188;240;;213;185;167;146;193;205;
1505;186;235;146;131;173;149;134;139;116;134;112;161;151
3129;251;;207;;;;273;240;211;178;;;
3196;310;312;245;251;297;297;;272;230;204;240;292;
3175;;277;292;250;;;325;;257;222;286;256;
2462;400;492;347;277;279;;;;301;269;329;477;
6155A;385;330;;322;344;;357;;;;;;
7178I;;;187;195;;219;225;223;179;;194;163;
7228;;190;177;;;;229;;183;145;190;;
9263D;268;;323;313;;;;324;;253;;175;
1690A;106;123;93;90;122;107;108;100;84;77;68;104;99
1484C;215;240;172;154;194;;164;;;143;138;165;
1495;314;400;;;286;275;266;228;237;246;;;
2867;376;372;;270;326;268;230;205;;216;;;
2870;208;189;149;140;173;147;149;128;132;115;129;169;152
C929I;516;542;;475;694;;725;545;;519;512;517;
C430E;;;690;617;524;598;555;558;565;477;505;603;
C139E;427;;;338;;;652;441;;404;;392;
C449C;;240;;;286;;;222;;216;215;206;
C447A;;;505;433;635;;692;;420;;287;299;
C429I;;416;480;;;581;;572;520;;497;;
2465;287;320;241;209;249;230;229;208;234;186;210;259;239
5796;206;192;167;167;157;167;190;169;157;176;162;180;174
5783;268;271;;;;;;257;;;;;
2030;236;217;215;183;219;175;191;175;;155;198;195;
0016A;375;;;267;286;247;271;;253;240;;352;
9981A;;199;230;200;;215;254;213;182;173;292;289;
9381I;190;230;191;;196;181;189;183;149;134;188;193;
8368U;144;;152;;149;140;165;;110;112;148;143;
3260B;;;299;268;284;271;289;253;;186;208;;
8414A;401;338;;;302;265;296;291;;242;298;355;
2422;180;;139;;179;;;144;129;126;130;148;
2539;;;;;;;;321;302;;;;
2614;187;164;184;;;;;166;;;148;156;
9390;143;143;122;102;139;121;143;133;89;84;109;119;121
9434;463;353;461;;349;353;450;427;291;311;507;315;
